CellType,Real_Score,P_Value
sst_expr,0.03735229173197097,0.012
sst_sig,0.03735229173197097,0.012
l5_it_sig,0.0192831720825704,0.024
pericyte_sig,0.022007773227203434,0.053
vip_sig,0.00416398567742831,0.222
lamp5_sig,0.010475281596909592,0.305
gad_sig,-0.0033558987505408755,0.667
astro_sig,-0.005002341960542479,0.729
endothelial_sig,0.002625556867470246,0.75
l2_3_it_sig,-0.01213426280046564,0.784
microglia_sig,0.004688518874523431,0.82
l6_ct_sig,-0.011230854908103926,0.822
opc_sig,-0.0059104676072807005,0.854
l4_it_sig,-0.020658758452097817,0.858
oligo_sig,-0.013804125181894207,0.927
pvalb_expr,-0.036302964098775536,0.994
pvalb_sig,-0.036302964098775536,0.994
l6_it_sig,-0.03393781093406525,0.995
