CellType,Real_Score,P_Value
l6_ct_sig,0.0075616420081909995,0.009
l6_it_sig,0.012699126390482483,0.02
oligo_sig,0.002060737795894616,0.152
vip_sig,0.0007937448323389973,0.287
lamp5_sig,0.00027767232455879284,0.337
gad_sig,0.0006854900636619594,0.499
pvalb_expr,0.07756367531224492,0.542
pvalb_sig,0.07756367531224492,0.542
l2_3_it_sig,0.0011342722962830757,0.713
microglia_sig,0.021669536904163008,0.722
endothelial_sig,-0.009023552704053837,0.773
pericyte_sig,-0.006525356926923869,0.831
l5_it_sig,-0.009701680644222107,0.907
sst_expr,0.0026957602288980123,0.959
sst_sig,0.0026957602288980123,0.959
astro_sig,0.0017557631326763049,0.976
l4_it_sig,0.007045666984234449,0.982
opc_sig,-0.0008707518216212748,0.999
