,ctx-lh-7Networks_LH_Vis_1,ctx-lh-7Networks_LH_Vis_2,ctx-lh-7Networks_LH_Vis_3,ctx-lh-7Networks_LH_Vis_4,ctx-lh-7Networks_LH_Vis_5,ctx-lh-7Networks_LH_Vis_6,ctx-lh-7Networks_LH_Vis_7,ctx-lh-7Networks_LH_Vis_8,ctx-lh-7Networks_LH_Vis_9,ctx-lh-7Networks_LH_SomMot_1,ctx-lh-7Networks_LH_SomMot_2,ctx-lh-7Networks_LH_SomMot_3,ctx-lh-7Networks_LH_SomMot_4,ctx-lh-7Networks_LH_SomMot_5,ctx-lh-7Networks_LH_SomMot_6,ctx-lh-7Networks_LH_DorsAttn_Post_1,ctx-lh-7Networks_LH_DorsAttn_Post_2,ctx-lh-7Networks_LH_DorsAttn_Post_3,ctx-lh-7Networks_LH_DorsAttn_Post_4,ctx-lh-7Networks_LH_DorsAttn_Post_5,ctx-lh-7Networks_LH_DorsAttn_Post_6,ctx-lh-7Networks_LH_DorsAttn_PrCv_1,ctx-lh-7Networks_LH_DorsAttn_FEF_1,ctx-lh-7Networks_LH_SalVentAttn_ParOper_1,ctx-lh-7Networks_LH_SalVentAttn_FrOperIns_1,ctx-lh-7Networks_LH_SalVentAttn_FrOperIns_2,ctx-lh-7Networks_LH_SalVentAttn_PFCl_1,ctx-lh-7Networks_LH_SalVentAttn_Med_1,ctx-lh-7Networks_LH_SalVentAttn_Med_2,ctx-lh-7Networks_LH_SalVentAttn_Med_3,ctx-lh-7Networks_LH_Limbic_OFC_1,ctx-lh-7Networks_LH_Limbic_TempPole_1,ctx-lh-7Networks_LH_Limbic_TempPole_2,ctx-lh-7Networks_LH_Cont_Par_1,ctx-lh-7Networks_LH_Cont_PFCl_1,ctx-lh-7Networks_LH_Cont_pCun_1,ctx-lh-7Networks_LH_Cont_Cing_1,ctx-lh-7Networks_LH_Default_Temp_1,ctx-lh-7Networks_LH_Default_Temp_2,ctx-lh-7Networks_LH_Default_Par_1,ctx-lh-7Networks_LH_Default_Par_2,ctx-lh-7Networks_LH_Default_PFC_1,ctx-lh-7Networks_LH_Default_PFC_2,ctx-lh-7Networks_LH_Default_PFC_3,ctx-lh-7Networks_LH_Default_PFC_4,ctx-lh-7Networks_LH_Default_PFC_5,ctx-lh-7Networks_LH_Default_PFC_6,ctx-lh-7Networks_LH_Default_PFC_7,ctx-lh-7Networks_LH_Default_pCunPCC_1,ctx-lh-7Networks_LH_Default_pCunPCC_2,ctx-rh-7Networks_RH_Vis_1,ctx-rh-7Networks_RH_Vis_2,ctx-rh-7Networks_RH_Vis_3,ctx-rh-7Networks_RH_Vis_4,ctx-rh-7Networks_RH_Vis_5,ctx-rh-7Networks_RH_Vis_6,ctx-rh-7Networks_RH_Vis_7,ctx-rh-7Networks_RH_Vis_8,ctx-rh-7Networks_RH_SomMot_1,ctx-rh-7Networks_RH_SomMot_2,ctx-rh-7Networks_RH_SomMot_3,ctx-rh-7Networks_RH_SomMot_4,ctx-rh-7Networks_RH_SomMot_5,ctx-rh-7Networks_RH_SomMot_6,ctx-rh-7Networks_RH_SomMot_7,ctx-rh-7Networks_RH_SomMot_8,ctx-rh-7Networks_RH_DorsAttn_Post_1,ctx-rh-7Networks_RH_DorsAttn_Post_2,ctx-rh-7Networks_RH_DorsAttn_Post_3,ctx-rh-7Networks_RH_DorsAttn_Post_4,ctx-rh-7Networks_RH_DorsAttn_Post_5,ctx-rh-7Networks_RH_DorsAttn_PrCv_1,ctx-rh-7Networks_RH_DorsAttn_FEF_1,ctx-rh-7Networks_RH_SalVentAttn_TempOccPar_1,ctx-rh-7Networks_RH_SalVentAttn_TempOccPar_2,ctx-rh-7Networks_RH_SalVentAttn_FrOperIns_1,ctx-rh-7Networks_RH_SalVentAttn_Med_1,ctx-rh-7Networks_RH_SalVentAttn_Med_2,ctx-rh-7Networks_RH_Limbic_OFC_1,ctx-rh-7Networks_RH_Limbic_TempPole_1,ctx-rh-7Networks_RH_Cont_Par_1,ctx-rh-7Networks_RH_Cont_Par_2,ctx-rh-7Networks_RH_Cont_PFCl_1,ctx-rh-7Networks_RH_Cont_PFCl_2,ctx-rh-7Networks_RH_Cont_PFCl_3,ctx-rh-7Networks_RH_Cont_PFCl_4,ctx-rh-7Networks_RH_Cont_Cing_1,ctx-rh-7Networks_RH_Cont_PFCmp_1,ctx-rh-7Networks_RH_Cont_pCun_1,ctx-rh-7Networks_RH_Default_Par_1,ctx-rh-7Networks_RH_Default_Temp_1,ctx-rh-7Networks_RH_Default_Temp_2,ctx-rh-7Networks_RH_Default_Temp_3,ctx-rh-7Networks_RH_Default_PFCv_1,ctx-rh-7Networks_RH_Default_PFCv_2,ctx-rh-7Networks_RH_Default_PFCdPFCm_1,ctx-rh-7Networks_RH_Default_PFCdPFCm_2,ctx-rh-7Networks_RH_Default_PFCdPFCm_3,ctx-rh-7Networks_RH_Default_pCunPCC_1,ctx-rh-7Networks_RH_Default_pCunPCC_2
ctx-lh-7Networks_LH_Vis_1,,,,,,0.04922009752126209,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010665091596002575,0.0018437670994302905,,0.0021887684889811713,,0.0008270464831508265,,,,,,,,,,,,,0.046348868998874374,,,,,,,,,,,,,,,,,,,,0.00853873667942188,0.024615673029244264,,0.026292298786199486,,,,,,,,,,,,0.031927338269347266,,0.002818274695305006,,0.036234752595731445,,,,,,,,,
ctx-lh-7Networks_LH_Vis_2,,,,0.028066770735074683,,,,0.04362004921133931,,0.03856822170095628,,,,,,0.003062362555787961,,,,,,,,,,,,,,,,0.02012983247321969,,0.024615673029244264,,,,,,,,,,,,,,,,,,,0.036234752595731445,,,,,,,,,,,,,,,,,,,0.021538618164096315,,,,,,,0.0004716279580149498,,0.013250262129014466,0.0021887684889811713,,,0.012332776550635577,,0.02303252664653828,,,,,,,,,,,,,
ctx-lh-7Networks_LH_Vis_3,,,,0.0006874985266565929,,,,0.0036092955414828566,,,0.00990903578457172,,,0.04922009752126209,0.02303252664653828,,,,,,,,,,,,,,,,,0.00538631537053742,,,,,,0.004597505293201539,,,,,,,,0.036234752595731445,0.0005701143486372625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00497778998745278,,0.01637496756627622,,,,0.024615673029244264,,0.011472048951681716,,,,,,,,,,,,,
ctx-lh-7Networks_LH_Vis_4,,,,,,0.031927338269347266,,,0.006295434002140038,6.192955765326685e-05,0.00497778998745278,0.014227614333360516,,,0.04362004921133931,,,,,,0.005824894639268647,,,1.2931508688497609e-05,,0.02012983247321969,,0.036234752595731445,,0.009201129798936317,,,,,,0.0018437670994302905,0.00853873667942188,,6.894405838901606e-05,1.7482524324626354e-07,,,,,,,,,0.036234752595731445,,,0.004597505293201539,0.046348868998874374,,,0.0016907026948766697,,0.00497778998745278,0.00679993564365484,,0.009201129798936317,0.013250262129014466,0.015268064392089937,,0.003914852255509215,0.04922009752126209,,0.007919331855613597,,,0.0018437670994302905,,,,0.0004716279580149498,0.012332776550635577,0.0004716279580149498,0.036234752595731445,0.036234752595731445,,8.529025986134199e-05,0.0025920868472905736,,,7.670623067846185e-05,,0.006295434002140038,,,,,,0.031927338269347266,,,,,,,
ctx-lh-7Networks_LH_Vis_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026292298786199486,,,,,0.0018437670994302905,5.559477511287458e-05,,0.0018437670994302905,0.007919331855613597,0.004597505293201539,0.017551804360473655,,,,0.028066770735074683,,,,,,,,,,,,,,,,,,,,,0.018802181474040967,,0.00497778998745278,,,0.028066770735074683,,,,,,,2.394992987737443e-06,6.894405838901606e-05,0.007340500646073494,0.00019494786386698996,0.04102826057518895,,0.007919331855613597,,9.477707466683729e-05,,0.02303252664653828,0.031927338269347266,,0.046348868998874374,,,,,,,,
ctx-lh-7Networks_LH_Vis_6,,,,,,,,0.0003892096098623346,,,1.2931508688497609e-05,0.017551804360473655,,0.0036092955414828566,0.00990903578457172,,0.031927338269347266,,0.0005186953976578513,,,,0.04362004921133931,,,,,,,0.00853873667942188,,,,,,,,0.02012983247321969,,,,,,,,,0.007919331855613597,,,0.036234752595731445,,,,,,,0.013250262129014466,,0.010665091596002575,0.00679993564365484,,,,0.02994357961846719,,,,,,,,0.026292298786199486,,0.024615673029244264,,,,,0.00029045725814696343,,,,,,,,0.02994357961846719,,,,,,0.028066770735074683,,0.04922009752126209,,,,,0.018802181474040967
ctx-lh-7Networks_LH_Vis_7,,,,,,,,,,,,,,,,,,0.017551804360473655,,,,0.036234752595731445,,0.007919331855613597,0.046348868998874374,,,,,,0.01637496756627622,,,0.0023826217873823023,0.02303252664653828,,0.04362004921133931,,,,0.0018437670994302905,0.010665091596002575,0.03402277934266004,,0.024615673029244264,,,,,,0.0036092955414828566,,,,,,,,,,,,0.046348868998874374,,,,,,,,,,,,,,,,0.0023826217873823023,,0.0036092955414828566,0.0036092955414828566,0.04102826057518895,0.0010862944161438859,0.03402277934266004,0.02012983247321969,0.013250262129014466,,,0.04362004921133931,0.007340500646073494,,,,,,,,,
ctx-lh-7Networks_LH_Vis_8,,,,,,,,,0.017551804360473655,6.894405838901606e-05,0.005824894639268647,0.013250262129014466,0.04102826057518895,,,,,,,,,0.04102826057518895,,0.0015494120378570743,0.0007542793866074148,0.02994357961846719,,,0.018802181474040967,,0.00538631537053742,,,0.028066770735074683,,,0.01637496756627622,,,,0.021538618164096315,0.013250262129014466,0.04362004921133931,,,,,,,,,,,,,0.0008270464831508265,,2.567776684594432e-05,1.8272539476268495e-05,0.003914852255509215,0.0012989162716777862,0.026292298786199486,1.0238122543157138e-05,,0.031927338269347266,,0.03402277934266004,,0.0015494120378570743,,,,,0.02994357961846719,0.015268064392089937,0.00017618422759021397,5.649297687402787e-06,0.0015494120378570743,0.00012957643031315228,0.02303252664653828,0.00011681981446563062,0.003914852255509215,,0.02994357961846719,0.0009062853119441486,,0.00679993564365484,,,,,,,,0.04102826057518895,,,,,
ctx-lh-7Networks_LH_Vis_9,,,,,,,,,,,,,,,0.007340500646073494,,,,,,,,0.02012983247321969,,,,,,,0.017551804360473655,0.003914852255509215,,,,,0.03856822170095628,,,,,0.0036092955414828566,,,,,,,,,,,,,,,0.04362004921133931,,,,,,,,,,,0.021538618164096315,,,,,,,,,,,,0.0005701143486372625,0.003062362555787961,0.02994357961846719,0.004597505293201539,,,,,0.031927338269347266,,,0.04102826057518895,,,,,,,,,,
ctx-lh-7Networks_LH_SomMot_1,,,,,,,,,,,,0.03402277934266004,,0.002009479287789706,,0.04362004921133931,,0.0008270464831508265,,0.046348868998874374,0.007340500646073494,,,,,0.024615673029244264,,,,0.031927338269347266,,0.03402277934266004,0.02303252664653828,,,,,,,0.014227614333360516,,,0.02012983247321969,,,,,,,,0.004597505293201539,,,0.00990903578457172,,,0.0006874985266565929,,0.04102826057518895,,0.036234752595731445,,,,,0.014227614333360516,,0.04102826057518895,,0.0033255967340754655,0.007340500646073494,,,,,,,,,,,0.017551804360473655,,,0.03856822170095628,,0.006295434002140038,,,,0.02994357961846719,,,,,,,0.018802181474040967,,
