CellType,Real_Score,P_Value
vip_sig,0.026237411836954837,0.0
lamp5_sig,0.05703700390221026,0.009
opc_sig,0.02288080827725406,0.19
pvalb_expr,0.12140964541585411,0.243
pvalb_sig,0.12140964541585411,0.243
gad_sig,0.0007782108209938992,0.258
l6_ct_sig,0.003723486394975951,0.356
l6_it_sig,0.011771620093049624,0.52
pericyte_sig,-0.005779123936426984,0.653
oligo_sig,-0.004327759102936336,0.717
endothelial_sig,-0.013959767900299788,0.886
microglia_sig,0.05147043233352549,0.951
l4_it_sig,0.020833475635671523,0.992
l2_3_it_sig,-0.02388656853783413,0.999
sst_expr,0.01427960995751821,0.999
l5_it_sig,-0.028651763836395103,0.999
sst_sig,0.01427960995751821,0.999
astro_sig,0.010167485231194082,1.0
