CellType,Real_Score,P_Value
l2_3_it_sig,0.04108847194653043,0.0
l4_it_sig,0.06989790112297543,0.0
sst_expr,0.10749247990443785,0.0
sst_sig,0.10749247990443785,0.0
oligo_sig,0.007569877292951255,0.067
pvalb_sig,0.025767288490005025,0.176
pvalb_expr,0.025767288490005025,0.176
endothelial_sig,0.0006101032867971562,0.361
gad_sig,0.0006480767238781039,0.378
microglia_sig,0.002799558129133894,0.466
l5_it_sig,-6.258285307466243e-05,0.544
lamp5_sig,-0.008937860287373414,0.571
pericyte_sig,0.00016594570014082246,0.664
l6_ct_sig,-0.0036609938597251196,0.68
opc_sig,-0.005717379223100706,0.814
l6_it_sig,-0.010233893476574949,0.866
astro_sig,-0.011555309984872256,0.916
vip_sig,-0.032494892943322265,1.0
