,ctx-lh-7Networks_LH_Vis_1,ctx-lh-7Networks_LH_Vis_2,ctx-lh-7Networks_LH_Vis_3,ctx-lh-7Networks_LH_Vis_4,ctx-lh-7Networks_LH_Vis_5,ctx-lh-7Networks_LH_Vis_6,ctx-lh-7Networks_LH_Vis_7,ctx-lh-7Networks_LH_Vis_8,ctx-lh-7Networks_LH_Vis_9,ctx-lh-7Networks_LH_SomMot_1,ctx-lh-7Networks_LH_SomMot_2,ctx-lh-7Networks_LH_SomMot_3,ctx-lh-7Networks_LH_SomMot_4,ctx-lh-7Networks_LH_SomMot_5,ctx-lh-7Networks_LH_SomMot_6,ctx-lh-7Networks_LH_DorsAttn_Post_1,ctx-lh-7Networks_LH_DorsAttn_Post_2,ctx-lh-7Networks_LH_DorsAttn_Post_3,ctx-lh-7Networks_LH_DorsAttn_Post_4,ctx-lh-7Networks_LH_DorsAttn_Post_5,ctx-lh-7Networks_LH_DorsAttn_Post_6,ctx-lh-7Networks_LH_DorsAttn_PrCv_1,ctx-lh-7Networks_LH_DorsAttn_FEF_1,ctx-lh-7Networks_LH_SalVentAttn_ParOper_1,ctx-lh-7Networks_LH_SalVentAttn_FrOperIns_1,ctx-lh-7Networks_LH_SalVentAttn_FrOperIns_2,ctx-lh-7Networks_LH_SalVentAttn_PFCl_1,ctx-lh-7Networks_LH_SalVentAttn_Med_1,ctx-lh-7Networks_LH_SalVentAttn_Med_2,ctx-lh-7Networks_LH_SalVentAttn_Med_3,ctx-lh-7Networks_LH_Limbic_OFC_1,ctx-lh-7Networks_LH_Limbic_TempPole_1,ctx-lh-7Networks_LH_Limbic_TempPole_2,ctx-lh-7Networks_LH_Cont_Par_1,ctx-lh-7Networks_LH_Cont_PFCl_1,ctx-lh-7Networks_LH_Cont_pCun_1,ctx-lh-7Networks_LH_Cont_Cing_1,ctx-lh-7Networks_LH_Default_Temp_1,ctx-lh-7Networks_LH_Default_Temp_2,ctx-lh-7Networks_LH_Default_Par_1,ctx-lh-7Networks_LH_Default_Par_2,ctx-lh-7Networks_LH_Default_PFC_1,ctx-lh-7Networks_LH_Default_PFC_2,ctx-lh-7Networks_LH_Default_PFC_3,ctx-lh-7Networks_LH_Default_PFC_4,ctx-lh-7Networks_LH_Default_PFC_5,ctx-lh-7Networks_LH_Default_PFC_6,ctx-lh-7Networks_LH_Default_PFC_7,ctx-lh-7Networks_LH_Default_pCunPCC_1,ctx-lh-7Networks_LH_Default_pCunPCC_2,ctx-rh-7Networks_RH_Vis_1,ctx-rh-7Networks_RH_Vis_2,ctx-rh-7Networks_RH_Vis_3,ctx-rh-7Networks_RH_Vis_4,ctx-rh-7Networks_RH_Vis_5,ctx-rh-7Networks_RH_Vis_6,ctx-rh-7Networks_RH_Vis_7,ctx-rh-7Networks_RH_Vis_8,ctx-rh-7Networks_RH_SomMot_1,ctx-rh-7Networks_RH_SomMot_2,ctx-rh-7Networks_RH_SomMot_3,ctx-rh-7Networks_RH_SomMot_4,ctx-rh-7Networks_RH_SomMot_5,ctx-rh-7Networks_RH_SomMot_6,ctx-rh-7Networks_RH_SomMot_7,ctx-rh-7Networks_RH_SomMot_8,ctx-rh-7Networks_RH_DorsAttn_Post_1,ctx-rh-7Networks_RH_DorsAttn_Post_2,ctx-rh-7Networks_RH_DorsAttn_Post_3,ctx-rh-7Networks_RH_DorsAttn_Post_4,ctx-rh-7Networks_RH_DorsAttn_Post_5,ctx-rh-7Networks_RH_DorsAttn_PrCv_1,ctx-rh-7Networks_RH_DorsAttn_FEF_1,ctx-rh-7Networks_RH_SalVentAttn_TempOccPar_1,ctx-rh-7Networks_RH_SalVentAttn_TempOccPar_2,ctx-rh-7Networks_RH_SalVentAttn_FrOperIns_1,ctx-rh-7Networks_RH_SalVentAttn_Med_1,ctx-rh-7Networks_RH_SalVentAttn_Med_2,ctx-rh-7Networks_RH_Limbic_OFC_1,ctx-rh-7Networks_RH_Limbic_TempPole_1,ctx-rh-7Networks_RH_Cont_Par_1,ctx-rh-7Networks_RH_Cont_Par_2,ctx-rh-7Networks_RH_Cont_PFCl_1,ctx-rh-7Networks_RH_Cont_PFCl_2,ctx-rh-7Networks_RH_Cont_PFCl_3,ctx-rh-7Networks_RH_Cont_PFCl_4,ctx-rh-7Networks_RH_Cont_Cing_1,ctx-rh-7Networks_RH_Cont_PFCmp_1,ctx-rh-7Networks_RH_Cont_pCun_1,ctx-rh-7Networks_RH_Default_Par_1,ctx-rh-7Networks_RH_Default_Temp_1,ctx-rh-7Networks_RH_Default_Temp_2,ctx-rh-7Networks_RH_Default_Temp_3,ctx-rh-7Networks_RH_Default_PFCv_1,ctx-rh-7Networks_RH_Default_PFCv_2,ctx-rh-7Networks_RH_Default_PFCdPFCm_1,ctx-rh-7Networks_RH_Default_PFCdPFCm_2,ctx-rh-7Networks_RH_Default_PFCdPFCm_3,ctx-rh-7Networks_RH_Default_pCunPCC_1,ctx-rh-7Networks_RH_Default_pCunPCC_2
ctx-lh-7Networks_LH_Vis_1,,,,,,0.043319497323191763,,,,,,0.009532789055557466,0.002088013819818477,0.0018074215389886714,,0.022725920181403885,0.018090233147435783,0.006511986190622881,0.017404167433785263,0.0057160771645736715,0.018090233147435783,,0.030492242959658585,0.04637044691793393,0.008770060187085546,,,,0.00013485458583526748,,,,,2.0079678243384086e-06,,,0.00033068201379498604,,,,0.006798676489432393,,,0.00264587796544003,,0.03516655269400794,,8.458113766302313e-05,0.0012822778937480101,0.0007728826499848873,,,,,,,,,,,0.04482305368070103,0.0030429895688774394,,,0.016100253803623156,,,,,,,0.005470982175425574,,0.01674105358372512,,0.03394397832956753,0.0001898403589114939,,,,,0.0005958422443319249,,,0.005971045127842893,0.0390624565377873,0.0010495655509336838,0.01488310791441764,0.00021244401596470653,0.005470982175425574,0.0004333792251804723,,,0.005235425407614455,,0.0014157329264130175,0.0012200027453518386,0.0005362521251411126,0.0011037596854699657,0.0004107138925234042
ctx-lh-7Networks_LH_Vis_2,,,,,,0.022725920181403885,,0.016100253803623156,0.002088013819818477,0.029410833419844074,0.01430554870498709,,0.006236230225740557,,,,,0.037724904141144926,0.024485719460620933,,0.00016951446827256664,,0.006798676489432393,,,,0.022725920181403885,,,,,,,,,0.04185883368836749,,,,,,,,,,0.0012200027453518386,,,,,,,,0.03160767737431865,,,,,,,,,,,,,,,,,0.005470982175425574,,,,0.0479626305429214,,,,0.010354206971866994,,,0.04482305368070103,,,,,,,,,,,,,,,,,,
ctx-lh-7Networks_LH_Vis_3,,,,,,,,,0.022725920181403885,0.016100253803623156,,0.043319497323191763,0.00458277454252796,,,,,,,,0.00318700150789054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00458277454252796,0.0013474799922008078,,,,,,,0.0011605350727914708,,,,0.029410833419844074,0.018799901092683157,,,,,,,,,,0.04044012827699094,,,,,0.0057160771645736715,,0.010788104691877624,,,,,,,0.03160767737431865,,,,,,,,,,
ctx-lh-7Networks_LH_Vis_4,,,,,,,,,,0.037724904141144926,,,0.03394397832956753,,,,,,,,0.00458277454252796,,0.049600567091059616,,,,0.03160767737431865,,0.043319497323191763,,,,,,,0.0479626305429214,,,0.02359156579379258,,,0.020292708184530762,,0.004791633570757607,,7.512957037378938e-05,0.029410833419844074,,,,,,,,,,,,,0.026362568019486714,0.021888043990126678,,,,0.01488310791441764,0.019533834240609522,,,,,0.00048226007847722486,,,0.0030429895688774394,0.04044012827699094,,,,0.01170473847839665,,,,,0.027346802522247818,0.001561909685955376,,,,0.000901420143712174,0.00458277454252796,,,,,,6.00059247742592e-06,0.00015125131725810876,,0.0009978456717863295,0.025409132332412838
ctx-lh-7Networks_LH_Vis_5,,,,,,0.037724904141144926,,0.006511986190622881,0.030492242959658585,,0.04044012827699094,,0.010788104691877624,,,,,0.0022967348773895073,,0.008062400042512852,0.032757973115373956,,0.025409132332412838,,,,0.006798676489432393,,,,,,,,,,,,,,,,,,,0.0022967348773895073,,,,,,,,,,,,,,0.049600567091059616,0.013209517876306351,,,,0.019533834240609522,,,,,0.0038273778765890196,1.5037005786602516e-05,,0.017404167433785263,,0.028362624148842053,,,,,0.03160767737431865,,,,,,,,,,,,0.012188493776012015,0.04637044691793393,,,0.0019903209033429606,0.028362624148842053,,0.007096674484820744,
ctx-lh-7Networks_LH_Vis_6,,,,,,,,0.002088013819818477,0.024485719460620933,0.008770060187085546,0.025409132332412838,0.0006278998799150822,0.0003891609903276726,,0.04482305368070103,,,0.00034919249072262477,,,0.010788104691877624,,,,,,,,,,,,,,,,0.043319497323191763,,,,,,,,,,,,,,,,,,,,,,,,0.00013485458583526748,0.00318700150789054,,,,,,,,0.01488310791441764,0.018090233147435783,,,,,,,,,,0.0030429895688774394,,0.015481142836325642,,,,,,,,0.049600567091059616,,,0.029410833419844074,,,,,0.0030429895688774394,
ctx-lh-7Networks_LH_Vis_7,,,,,,,,,,0.018799901092683157,0.0005653154251002041,0.0008137032979788674,0.004004784835096503,,,,,,0.004791633570757607,,0.027346802522247818,,,,0.0038273778765890196,0.0012200027453518386,,,,,,0.04044012827699094,,,,,,,,,,0.005235425407614455,,,,0.029410833419844074,,,,,,,,,,,,,,0.0012200027453518386,6.00059247742592e-06,0.049600567091059616,,,0.012188493776012015,0.0018074215389886714,,0.025409132332412838,,,,,,,,0.0034938430372004775,,,0.01488310791441764,,0.002088013819818477,,,,,,,,,,,,,,,0.013209517876306351,,,0.0018074215389886714,
ctx-lh-7Networks_LH_Vis_8,,,,,,,,,0.004004784835096503,0.002904944232083463,0.0034938430372004775,0.0012822778937480101,0.0002654477426279045,0.03160767737431865,0.020292708184530762,,,,,,0.043319497323191763,,,,0.018799901092683157,0.00458277454252796,0.029410833419844074,,,,,0.04185883368836749,,0.00015125131725810876,,,,,,,0.02359156579379258,,,,,0.006236230225740557,,,,,,,,,0.019533834240609522,0.006511986190622881,,0.030492242959658585,,0.0027726449197486708,0.002088013819818477,,0.018090233147435783,0.003657149809003304,0.0007339724208186604,4.107819552748919e-05,,,,,0.00318700150789054,,,,0.01170473847839665,,,0.0025244364526890023,0.00458277454252796,0.018799901092683157,0.006236230225740557,,,,0.029410833419844074,,,,,,,,,,,,0.03642656723655528,,7.972287275312753e-05,
ctx-lh-7Networks_LH_Vis_9,,,,,,,,,,0.021077211149259905,0.000696890615223051,0.00029638598533845956,0.00014283122894614573,,0.032757973115373956,,0.043319497323191763,0.024485719460620933,,,,,,,,,,,,,,,,0.01674105358372512,,0.004791633570757607,,,,,,,,,,,,,,,,0.025409132332412838,,,0.007096674484820744,0.00318700150789054,0.029410833419844074,,0.04044012827699094,0.0014871651237839403,4.641973977162649e-05,0.006511986190622881,,,0.04482305368070103,0.01170473847839665,,,,0.005470982175425574,,,,,0.006236230225740557,,,,0.00219009329937865,,0.03642656723655528,,,,,,,,,,,,,,,,,,0.0006615583754439675,
ctx-lh-7Networks_LH_SomMot_1,,,,,,,,,,,,0.02359156579379258,,,,,0.043319497323191763,,,,,,,,,,,,,,,0.04044012827699094,,,,,0.017404167433785263,,,,,,,,,,,,,,,,,,,,0.04044012827699094,0.022725920181403885,,,,,,,,,,,,0.007096674484820744,,,,,,,,,,,0.0043822054827061365,,,,,,,,,,,0.022725920181403885,,,,,,,,
