CellType,Real_Score,P_Value
l2_3_it_sig,0.07000255277478987,0.0
l4_it_sig,0.17488291329630154,0.0
l6_it_sig,0.07015044629951298,0.0
microglia_sig,0.11400918348202582,0.0
vip_sig,0.02700351643901718,0.012
sst_expr,0.11556426773058402,0.03
sst_sig,0.11556426773058402,0.03
oligo_sig,0.005051534431347962,0.156
l5_it_sig,0.007410952298302778,0.177
l6_ct_sig,0.005374642612869437,0.216
pvalb_sig,0.08755716672396438,0.243
pvalb_expr,0.08755716672396438,0.243
gad_sig,0.0007973686074550501,0.275
lamp5_sig,-0.015807446917256,0.582
astro_sig,-0.0005720289039128476,0.637
opc_sig,0.004663692269043994,0.669
endothelial_sig,-0.021172053074493737,0.748
pericyte_sig,-0.01267060040705175,0.965
