,ctx-lh-7Networks_LH_Vis_1,ctx-lh-7Networks_LH_Vis_2,ctx-lh-7Networks_LH_Vis_3,ctx-lh-7Networks_LH_Vis_4,ctx-lh-7Networks_LH_Vis_5,ctx-lh-7Networks_LH_Vis_6,ctx-lh-7Networks_LH_Vis_7,ctx-lh-7Networks_LH_Vis_8,ctx-lh-7Networks_LH_Vis_9,ctx-lh-7Networks_LH_SomMot_1,ctx-lh-7Networks_LH_SomMot_2,ctx-lh-7Networks_LH_SomMot_3,ctx-lh-7Networks_LH_SomMot_4,ctx-lh-7Networks_LH_SomMot_5,ctx-lh-7Networks_LH_SomMot_6,ctx-lh-7Networks_LH_DorsAttn_Post_1,ctx-lh-7Networks_LH_DorsAttn_Post_2,ctx-lh-7Networks_LH_DorsAttn_Post_3,ctx-lh-7Networks_LH_DorsAttn_Post_4,ctx-lh-7Networks_LH_DorsAttn_Post_5,ctx-lh-7Networks_LH_DorsAttn_Post_6,ctx-lh-7Networks_LH_DorsAttn_PrCv_1,ctx-lh-7Networks_LH_DorsAttn_FEF_1,ctx-lh-7Networks_LH_SalVentAttn_ParOper_1,ctx-lh-7Networks_LH_SalVentAttn_FrOperIns_1,ctx-lh-7Networks_LH_SalVentAttn_FrOperIns_2,ctx-lh-7Networks_LH_SalVentAttn_PFCl_1,ctx-lh-7Networks_LH_SalVentAttn_Med_1,ctx-lh-7Networks_LH_SalVentAttn_Med_2,ctx-lh-7Networks_LH_SalVentAttn_Med_3,ctx-lh-7Networks_LH_Limbic_OFC_1,ctx-lh-7Networks_LH_Limbic_TempPole_1,ctx-lh-7Networks_LH_Limbic_TempPole_2,ctx-lh-7Networks_LH_Cont_Par_1,ctx-lh-7Networks_LH_Cont_PFCl_1,ctx-lh-7Networks_LH_Cont_pCun_1,ctx-lh-7Networks_LH_Cont_Cing_1,ctx-lh-7Networks_LH_Default_Temp_1,ctx-lh-7Networks_LH_Default_Temp_2,ctx-lh-7Networks_LH_Default_Par_1,ctx-lh-7Networks_LH_Default_Par_2,ctx-lh-7Networks_LH_Default_PFC_1,ctx-lh-7Networks_LH_Default_PFC_2,ctx-lh-7Networks_LH_Default_PFC_3,ctx-lh-7Networks_LH_Default_PFC_4,ctx-lh-7Networks_LH_Default_PFC_5,ctx-lh-7Networks_LH_Default_PFC_6,ctx-lh-7Networks_LH_Default_PFC_7,ctx-lh-7Networks_LH_Default_pCunPCC_1,ctx-lh-7Networks_LH_Default_pCunPCC_2,ctx-rh-7Networks_RH_Vis_1,ctx-rh-7Networks_RH_Vis_2,ctx-rh-7Networks_RH_Vis_3,ctx-rh-7Networks_RH_Vis_4,ctx-rh-7Networks_RH_Vis_5,ctx-rh-7Networks_RH_Vis_6,ctx-rh-7Networks_RH_Vis_7,ctx-rh-7Networks_RH_Vis_8,ctx-rh-7Networks_RH_SomMot_1,ctx-rh-7Networks_RH_SomMot_2,ctx-rh-7Networks_RH_SomMot_3,ctx-rh-7Networks_RH_SomMot_4,ctx-rh-7Networks_RH_SomMot_5,ctx-rh-7Networks_RH_SomMot_6,ctx-rh-7Networks_RH_SomMot_7,ctx-rh-7Networks_RH_SomMot_8,ctx-rh-7Networks_RH_DorsAttn_Post_1,ctx-rh-7Networks_RH_DorsAttn_Post_2,ctx-rh-7Networks_RH_DorsAttn_Post_3,ctx-rh-7Networks_RH_DorsAttn_Post_4,ctx-rh-7Networks_RH_DorsAttn_Post_5,ctx-rh-7Networks_RH_DorsAttn_PrCv_1,ctx-rh-7Networks_RH_DorsAttn_FEF_1,ctx-rh-7Networks_RH_SalVentAttn_TempOccPar_1,ctx-rh-7Networks_RH_SalVentAttn_TempOccPar_2,ctx-rh-7Networks_RH_SalVentAttn_FrOperIns_1,ctx-rh-7Networks_RH_SalVentAttn_Med_1,ctx-rh-7Networks_RH_SalVentAttn_Med_2,ctx-rh-7Networks_RH_Limbic_OFC_1,ctx-rh-7Networks_RH_Limbic_TempPole_1,ctx-rh-7Networks_RH_Cont_Par_1,ctx-rh-7Networks_RH_Cont_Par_2,ctx-rh-7Networks_RH_Cont_PFCl_1,ctx-rh-7Networks_RH_Cont_PFCl_2,ctx-rh-7Networks_RH_Cont_PFCl_3,ctx-rh-7Networks_RH_Cont_PFCl_4,ctx-rh-7Networks_RH_Cont_Cing_1,ctx-rh-7Networks_RH_Cont_PFCmp_1,ctx-rh-7Networks_RH_Cont_pCun_1,ctx-rh-7Networks_RH_Default_Par_1,ctx-rh-7Networks_RH_Default_Temp_1,ctx-rh-7Networks_RH_Default_Temp_2,ctx-rh-7Networks_RH_Default_Temp_3,ctx-rh-7Networks_RH_Default_PFCv_1,ctx-rh-7Networks_RH_Default_PFCv_2,ctx-rh-7Networks_RH_Default_PFCdPFCm_1,ctx-rh-7Networks_RH_Default_PFCdPFCm_2,ctx-rh-7Networks_RH_Default_PFCdPFCm_3,ctx-rh-7Networks_RH_Default_pCunPCC_1,ctx-rh-7Networks_RH_Default_pCunPCC_2
ctx-lh-7Networks_LH_Vis_1,,,,,0.01606120332170293,,,,,,,,,,,,0.033913030927096785,,,,,,0.038140080601458765,,,,,,,0.010271928956672756,,0.030093591365822653,,,,,,0.013468392025255889,,,,,,,,,,,,,,,,,,,,,,,0.020773540941666703,0.015374845422865598,,,,,,0.016774387005666618,,,,,,,0.0235530912116381,,,,0.04618089285351064,0.0428076296467604,,,0.020773540941666703,,,0.0235530912116381,,,,,,,,0.032596178741391334,,,,,,
ctx-lh-7Networks_LH_Vis_2,,,0.01407925419723217,,0.001699347803207217,0.015374845422865598,,,,,0.01908361022472414,,0.026650280279028344,0.005551854929308857,0.004558553590114388,,,,0.006420924753433565,,,,,,,,,,,,,0.006736761599074517,,,,,,0.03132342097558526,,,,,,,,,,,0.025580864204081042,,,,,,0.007066511464319397,,,,0.009810568331393906,0.0235530912116381,0.02890554164651014,0.01177416145618161,,0.019912910929826493,0.027758141799927215,0.013468392025255889,0.047949886552609754,,,,,,,0.032596178741391334,,,,,,0.010271928956672756,,,0.024548819533797832,,,,,,,,,0.00288633830649467,,,,,,,0.006420924753433565,
ctx-lh-7Networks_LH_Vis_3,,,,0.01177416145618161,5.076209351986592e-06,0.03132342097558526,,,,,0.008942942048334719,,0.018284699448245952,0.0035445604949260667,0.005033064447757093,,,,0.03527516151778027,,,,,,,,,,,0.004336849274897437,,,,,,,,,,,,,,,,,,,0.0035445604949260667,,,,,0.002341676035839205,0.0033682862140003446,,0.049775551954189264,,,0.004124976976347887,0.033913030927096785,0.006420924753433565,,0.004790488183656634,0.002600984719272656,0.005551854929308857,,0.03132342097558526,,,,,,0.03964532278144687,,,,,0.009810568331393906,0.0428076296467604,,,0.018284699448245952,,,,,,,,,,,,,,,,0.004336849274897437,
ctx-lh-7Networks_LH_Vis_4,,,,,,0.024548819533797832,,,0.020773540941666703,,0.049775551954189264,,0.03964532278144687,,0.032596178741391334,,,,,,,,,,0.047949886552609754,,,,,,,0.012881097711289112,,,,,,0.0428076296467604,,,,,,,,,,,0.041200749984992784,,,,,,0.01908361022472414,0.005286707191985425,,,,,,,,,,,,,,,0.038140080601458765,,,,,,,,,0.024548819533797832,,,,,,,,,,,,0.005551854929308857,,,,,,,,
ctx-lh-7Networks_LH_Vis_5,,,,,,0.001996902739332168,0.0037291993131006464,4.977607282387193e-05,3.459473368503485e-07,,,,,,,0.021666459018776764,0.03668377191467031,0.03527516151778027,0.04446724465229857,,,,0.02890554164651014,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004124976976347887,0.008942942048334719,,,0.011253040083410557,8.536142388066282e-06,0.0013659691485542387,4.811438394544115e-07,,,,,0.0235530912116381,,0.009367786548766712,,,0.015374845422865598,,,,0.049775551954189264,0.030093591365822653,,,,,,0.030093591365822653,,,,,,,,,,,,,,,,,,,,,0.04618089285351064
ctx-lh-7Networks_LH_Vis_6,,,,,,,0.049775551954189264,8.486329428521603e-05,0.038140080601458765,,0.03668377191467031,,,,,,,0.014714470347566467,,,,,,,,,,,,,,,,,,,,,,,,,,0.049775551954189264,,,,,0.01908361022472414,,,,0.03964532278144687,,,,0.00015193026100062627,0.0013659691485542387,,0.02890554164651014,,,,,,,,,,0.012316603821595527,,,,,,,,,0.02890554164651014,,,,,,,,,,,,,,,,,,,,0.03668377191467031,
ctx-lh-7Networks_LH_Vis_7,,,,,,,,,,,,,,,,,,,,,,,,0.0033682862140003446,,,0.0010939272010024802,0.027758141799927215,0.012881097711289112,,,0.002468212316907825,,,,,,0.007066511464319397,,,,,,,,,,,,,,,0.005828960161047943,,,,,,,,,,,,,,0.024548819533797832,,,,,,,,,,,,,,0.0022211130379318766,,0.0037291993131006464,,0.0004883147200014715,,0.008535410421174791,0.019912910929826493,,,,0.006420924753433565,,0.004558553590114388,0.0235530912116381,,,,,
ctx-lh-7Networks_LH_Vis_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04446724465229857,0.01751525859502073,,,,,0.038140080601458765,,,,,,,,,,,,,,,,,0.049775551954189264,1.266017316740439e-06,0.01908361022472414,0.024548819533797832,0.00030175198131893725,,,,,,,,,0.015374845422865598,,,,,,,,,,,,0.00038457696087140574,0.047949886552609754,,,0.0009775919428499666,,0.04618089285351064,,0.006118489660305936,0.024548819533797832,,,,0.04446724465229857,,0.0012926437967377424,,,,,,
ctx-lh-7Networks_LH_Vis_9,,,,,,,,,,,0.024548819533797832,,,0.013468392025255889,0.01606120332170293,,,,0.02890554164651014,,,,,,0.006118489660305936,,,,,0.012316603821595527,,0.004558553590114388,,,,,,0.008942942048334719,,,,,,0.047949886552609754,,,,,0.010752527362797316,,,,,0.012881097711289112,0.00020826588006761222,,0.011253040083410557,0.01751525859502073,,0.0077698724969778605,,,,0.01908361022472414,0.005033064447757093,0.013468392025255889,,0.024548819533797832,,,,,,0.049775551954189264,,,,0.04446724465229857,0.032596178741391334,0.03527516151778027,,,,,,,,,,,,,,,,,,,0.018284699448245952,
ctx-lh-7Networks_LH_SomMot_1,,,,,,,,,,,0.000460174126103079,0.04618089285351064,0.02890554164651014,,,,,,,,,,,,,,,,,0.01908361022472414,,8.536142388066282e-06,,,,,,1.4191845967991556e-05,1.370252300589023e-06,,,0.002600984719272656,0.03527516151778027,0.033913030927096785,0.049775551954189264,0.010752527362797316,0.019912910929826493,,,0.047949886552609754,0.0428076296467604,,,,,0.0235530912116381,,,3.4776390382350973e-06,0.004336849274897437,0.006118489660305936,0.007066511464319397,0.04446724465229857,,,,,,,,,,,0.03964532278144687,,,,,,0.049775551954189264,,,,,,,,,,,,0.00012538524070836933,0.00023588473981471077,,,,,,,
