CellType,Real_Score,P_Value
l6_it_sig,0.032069688146295655,0.0
pvalb_sig,0.0482503886642249,0.0
oligo_sig,0.015350588309583904,0.0
opc_sig,0.011872895708768122,0.0
pvalb_expr,0.0482503886642249,0.0
l4_it_sig,0.02186298239141844,0.017
endothelial_sig,0.009009986475324396,0.027
l2_3_it_sig,0.00854214564266217,0.038
astro_sig,0.006965684224113245,0.051
l6_ct_sig,0.0053766094903270195,0.073
gad_sig,0.0021664236391088065,0.278
microglia_sig,0.025559568142442358,0.281
lamp5_sig,0.004151246790302755,0.41
vip_sig,-0.00032999822003402813,0.471
pericyte_sig,-0.0027914640363097924,0.483
l5_it_sig,-0.0037091831320450394,0.515
sst_expr,-0.013952954473026864,0.791
sst_sig,-0.013952954473026864,0.791
