CellType,Real_Score,P_Value
l4_it_sig,0.1018685487294022,0.001
l6_it_sig,0.023172876938597934,0.004
sst_expr,0.11178045430077613,0.012
sst_sig,0.11178045430077613,0.012
l2_3_it_sig,0.0119397721186991,0.149
vip_sig,-0.0016837715632969945,0.317
oligo_sig,0.00022938539776887158,0.337
microglia_sig,0.08248528901051583,0.404
l6_ct_sig,-0.006101475091935343,0.56
endothelial_sig,-0.009997620002530442,0.705
l5_it_sig,0.008672075372560128,0.825
lamp5_sig,-0.032758260537824394,0.907
astro_sig,-0.012030463038484441,0.925
opc_sig,-0.005411000375050459,0.951
gad_sig,-0.010349862162014568,0.988
pericyte_sig,0.007632411306113503,0.991
pvalb_sig,-0.0034216934477947453,1.0
pvalb_expr,-0.0034216934477947453,1.0
