,ctx-lh-7Networks_LH_Vis_1,ctx-lh-7Networks_LH_Vis_2,ctx-lh-7Networks_LH_Vis_3,ctx-lh-7Networks_LH_Vis_4,ctx-lh-7Networks_LH_Vis_5,ctx-lh-7Networks_LH_Vis_6,ctx-lh-7Networks_LH_Vis_7,ctx-lh-7Networks_LH_Vis_8,ctx-lh-7Networks_LH_Vis_9,ctx-lh-7Networks_LH_SomMot_1,ctx-lh-7Networks_LH_SomMot_2,ctx-lh-7Networks_LH_SomMot_3,ctx-lh-7Networks_LH_SomMot_4,ctx-lh-7Networks_LH_SomMot_5,ctx-lh-7Networks_LH_SomMot_6,ctx-lh-7Networks_LH_DorsAttn_Post_1,ctx-lh-7Networks_LH_DorsAttn_Post_2,ctx-lh-7Networks_LH_DorsAttn_Post_3,ctx-lh-7Networks_LH_DorsAttn_Post_4,ctx-lh-7Networks_LH_DorsAttn_Post_5,ctx-lh-7Networks_LH_DorsAttn_Post_6,ctx-lh-7Networks_LH_DorsAttn_PrCv_1,ctx-lh-7Networks_LH_DorsAttn_FEF_1,ctx-lh-7Networks_LH_SalVentAttn_ParOper_1,ctx-lh-7Networks_LH_SalVentAttn_FrOperIns_1,ctx-lh-7Networks_LH_SalVentAttn_FrOperIns_2,ctx-lh-7Networks_LH_SalVentAttn_PFCl_1,ctx-lh-7Networks_LH_SalVentAttn_Med_1,ctx-lh-7Networks_LH_SalVentAttn_Med_2,ctx-lh-7Networks_LH_SalVentAttn_Med_3,ctx-lh-7Networks_LH_Limbic_OFC_1,ctx-lh-7Networks_LH_Limbic_TempPole_1,ctx-lh-7Networks_LH_Limbic_TempPole_2,ctx-lh-7Networks_LH_Cont_Par_1,ctx-lh-7Networks_LH_Cont_PFCl_1,ctx-lh-7Networks_LH_Cont_pCun_1,ctx-lh-7Networks_LH_Cont_Cing_1,ctx-lh-7Networks_LH_Default_Temp_1,ctx-lh-7Networks_LH_Default_Temp_2,ctx-lh-7Networks_LH_Default_Par_1,ctx-lh-7Networks_LH_Default_Par_2,ctx-lh-7Networks_LH_Default_PFC_1,ctx-lh-7Networks_LH_Default_PFC_2,ctx-lh-7Networks_LH_Default_PFC_3,ctx-lh-7Networks_LH_Default_PFC_4,ctx-lh-7Networks_LH_Default_PFC_5,ctx-lh-7Networks_LH_Default_PFC_6,ctx-lh-7Networks_LH_Default_PFC_7,ctx-lh-7Networks_LH_Default_pCunPCC_1,ctx-lh-7Networks_LH_Default_pCunPCC_2,ctx-rh-7Networks_RH_Vis_1,ctx-rh-7Networks_RH_Vis_2,ctx-rh-7Networks_RH_Vis_3,ctx-rh-7Networks_RH_Vis_4,ctx-rh-7Networks_RH_Vis_5,ctx-rh-7Networks_RH_Vis_6,ctx-rh-7Networks_RH_Vis_7,ctx-rh-7Networks_RH_Vis_8,ctx-rh-7Networks_RH_SomMot_1,ctx-rh-7Networks_RH_SomMot_2,ctx-rh-7Networks_RH_SomMot_3,ctx-rh-7Networks_RH_SomMot_4,ctx-rh-7Networks_RH_SomMot_5,ctx-rh-7Networks_RH_SomMot_6,ctx-rh-7Networks_RH_SomMot_7,ctx-rh-7Networks_RH_SomMot_8,ctx-rh-7Networks_RH_DorsAttn_Post_1,ctx-rh-7Networks_RH_DorsAttn_Post_2,ctx-rh-7Networks_RH_DorsAttn_Post_3,ctx-rh-7Networks_RH_DorsAttn_Post_4,ctx-rh-7Networks_RH_DorsAttn_Post_5,ctx-rh-7Networks_RH_DorsAttn_PrCv_1,ctx-rh-7Networks_RH_DorsAttn_FEF_1,ctx-rh-7Networks_RH_SalVentAttn_TempOccPar_1,ctx-rh-7Networks_RH_SalVentAttn_TempOccPar_2,ctx-rh-7Networks_RH_SalVentAttn_FrOperIns_1,ctx-rh-7Networks_RH_SalVentAttn_Med_1,ctx-rh-7Networks_RH_SalVentAttn_Med_2,ctx-rh-7Networks_RH_Limbic_OFC_1,ctx-rh-7Networks_RH_Limbic_TempPole_1,ctx-rh-7Networks_RH_Cont_Par_1,ctx-rh-7Networks_RH_Cont_Par_2,ctx-rh-7Networks_RH_Cont_PFCl_1,ctx-rh-7Networks_RH_Cont_PFCl_2,ctx-rh-7Networks_RH_Cont_PFCl_3,ctx-rh-7Networks_RH_Cont_PFCl_4,ctx-rh-7Networks_RH_Cont_Cing_1,ctx-rh-7Networks_RH_Cont_PFCmp_1,ctx-rh-7Networks_RH_Cont_pCun_1,ctx-rh-7Networks_RH_Default_Par_1,ctx-rh-7Networks_RH_Default_Temp_1,ctx-rh-7Networks_RH_Default_Temp_2,ctx-rh-7Networks_RH_Default_Temp_3,ctx-rh-7Networks_RH_Default_PFCv_1,ctx-rh-7Networks_RH_Default_PFCv_2,ctx-rh-7Networks_RH_Default_PFCdPFCm_1,ctx-rh-7Networks_RH_Default_PFCdPFCm_2,ctx-rh-7Networks_RH_Default_PFCdPFCm_3,ctx-rh-7Networks_RH_Default_pCunPCC_1,ctx-rh-7Networks_RH_Default_pCunPCC_2
ctx-lh-7Networks_LH_Vis_1,,,,,,,,,0.03150697005497537,,0.046880678706787283,0.03150697005497537,,,,,,,,0.0021047383326105408,,,0.007645604111132322,,,0.03854640049329976,,0.002757821773049168,,0.015409608626565702,,,,,,0.04997609438553901,,0.02385738556339973,,0.04117230026787936,,,,0.01227322575014205,0.00426826233006933,,,0.005058895049589229,0.0032910029845258392,,8.013772456394695e-05,,,,,0.02385738556339973,,,0.02385738556339973,0.001203457143352609,0.014293491246950014,,,0.03150697005497537,,,7.153499853463984e-05,,,,,0.02560060173827692,0.0014539345924459248,5.688203043469937e-05,,0.022218117370559405,,0.00012534037243693873,,0.0008177475383874184,,,,,,,,,0.016601768648500378,0.002757821773049168,0.046880678706787283,0.0009933963863588385,0.0032910029845258392,,,0.04117230026787936,,0.001203457143352609,0.0005495677278286323,
ctx-lh-7Networks_LH_Vis_2,,,,,,0.04117230026787936,0.005058895049589229,0.00971631770670998,0.04394825736581948,,0.04394825736581948,0.04394825736581948,0.014293491246950014,0.017874212882282386,,0.011361396877886077,,,0.04997609438553901,,,,0.008976313936409231,,0.016601768648500378,,,,,,,,,,,,0.00426826233006933,,,0.016601768648500378,0.0070490185110510615,,,,,,,,,0.00426826233006933,0.0009933963863588385,0.0010937697854660863,0.0021047383326105408,,,0.00971631770670998,,0.02560060173827692,0.027452988959563322,0.0003292506664960258,0.004648372774310188,0.008976313936409231,,0.008287079423381919,,,0.0014539345924459248,0.015409608626565702,,,,0.022218117370559405,,0.00011219674248404821,0.0032910029845258392,,,0.00971631770670998,,,,0.027452988959563322,,,,,0.00012534037243693873,,,,,,,,,,,,,0.008287079423381919
ctx-lh-7Networks_LH_Vis_3,,,,,,,0.0070490185110510615,,0.0001740258032029689,,0.00597971926600485,0.04997609438553901,,,,,,,,,,,,,,,,,,,,,,,,,0.003916569853085068,,,0.015409608626565702,0.03371980373514207,,,,,,,,,0.011361396877886077,0.0004486667842502273,0.00426826233006933,0.03371980373514207,,,0.00040497214617910346,,0.0006713040066304172,0.015409608626565702,0.005058895049589229,0.02067773652808165,,,0.02067773652808165,,,0.003916569853085068,,,,,,,1.1403675441731254e-06,,,,0.0035914102382943224,,,,,,,,,0.0030136680559138106,,,,,,0.00021583504302162483,,,,,,,
ctx-lh-7Networks_LH_Vis_4,,,,,,,,,,,,,,,,,,,,,,,,0.03371980373514207,,,,,,,,,,0.005501935934795938,,,,,,,0.000741171842281478,,,,,,,,,0.004648372774310188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0021047383326105408,,,,,0.010510244854927754,,,0.015409608626565702,,,,,,,,,,0.005058895049589229
ctx-lh-7Networks_LH_Vis_5,,,,,,,,0.0021047383326105408,,,,,,,,,,,,,,,,,0.00971631770670998,,,,,,,,,,,,,,,,0.015409608626565702,,,,,,,,,0.00649459004715727,,,,,,,0.017874212882282386,0.04997609438553901,,0.04117230026787936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010510244854927754
ctx-lh-7Networks_LH_Vis_6,,,,,,,,,,0.008287079423381919,0.001203457143352609,,,0.04117230026787936,,,,0.04394825736581948,,,,,,,0.011361396877886077,,,,,,,,0.04997609438553901,,,0.03371980373514207,,0.046880678706787283,0.011361396877886077,0.00426826233006933,,,,,,,,,,,0.000741171842281478,,0.02560060173827692,,0.0006713040066304172,,,,0.0025219727462079244,0.000741171842281478,0.0035914102382943224,,,0.015409608626565702,,,0.00040497214617910346,,,0.03854640049329976,,,,5.507246856704216e-08,,0.03854640049329976,,0.010510244854927754,,,,,,,,,,,,,,0.027452988959563322,4.510473949292533e-05,0.003916569853085068,0.0019207958194955817,,,,,
ctx-lh-7Networks_LH_Vis_7,,,,,,,,,0.017874212882282386,,,,,0.010510244854927754,,,,0.04394825736581948,0.011361396877886077,,,,,,,,,,,,0.04117230026787936,0.04997609438553901,,0.001203457143352609,,0.003916569853085068,0.001203457143352609,,,,0.010510244854927754,,,,,,,,,0.03371980373514207,6.38113547430124e-05,0.0001740258032029689,7.153499853463984e-05,,,0.0005495677278286323,,0.04117230026787936,0.008976313936409231,0.0005495677278286323,,,,0.0001740258032029689,0.008976313936409231,,,0.02560060173827692,,,,,,0.00024011784312541863,,,,,,0.003916569853085068,0.014293491246950014,,,,,,3.168280464839897e-05,0.005501935934795938,,,,0.0013232347019899702,4.012286789319397e-05,,,,,,,
ctx-lh-7Networks_LH_Vis_8,,,,,,,,,,,,,,,,0.0070490185110510615,,,,,,0.016601768648500378,,0.00649459004715727,,,,0.005058895049589229,0.015409608626565702,,,,,0.001203457143352609,0.04997609438553901,0.00036528018649855043,8.659241567035782e-07,,,,4.012286789319397e-05,,,0.0008177475383874184,,,0.02385738556339973,0.005501935934795938,0.0014539345924459248,1.3561047029041378e-05,0.0010937697854660863,0.0005495677278286323,1.3561047029041378e-05,,,,0.00649459004715727,,,,,,,,,,,,,,,,,,,,0.04117230026787936,,,,0.015409608626565702,0.00021583504302162483,,,,,6.556899752119706e-07,0.010510244854927754,,0.014293491246950014,,,,,,0.0021047383326105408,,0.02560060173827692,0.011361396877886077,0.00024011784312541863
ctx-lh-7Networks_LH_Vis_9,,,,,,,,,,0.016601768648500378,0.0014539345924459248,,0.015409608626565702,0.005058895049589229,0.022218117370559405,0.03854640049329976,,0.007645604111132322,,,,,,,0.00971631770670998,,,,,,,,,0.02385738556339973,,6.376527025401708e-06,0.0009933963863588385,0.014293491246950014,0.0070490185110510615,0.0017517286348639938,,,,,,,,,,0.04117230026787936,0.00010036163871588573,0.014293491246950014,0.004648372774310188,,,0.002304717861865987,,,0.010510244854927754,0.0002965696159896505,0.00597971926600485,0.015409608626565702,,0.0006713040066304172,,,0.0025219727462079244,,,0.027452988959563322,,,,7.44831335081207e-08,,,,0.017874212882282386,,,0.0030136680559138106,,,,,,0.011361396877886077,,,,,0.008976313936409231,1.9590839489300558e-05,,,,,,,
ctx-lh-7Networks_LH_SomMot_1,,,,,,,,,,,9.32833477782621e-06,0.0013232347019899702,5.688203043469937e-05,0.00021583504302162483,7.153499853463984e-05,,,,,,,,,,,,,,,,0.03854640049329976,,,,0.02385738556339973,1.5340858637337523e-05,0.0006076032147216114,,0.03371980373514207,0.00040497214617910346,,,,,0.016601768648500378,,,,,,0.008976313936409231,,,,,0.0008177475383874184,0.03606428152950279,,1.565103203162995e-07,1.0437572310615223e-10,3.80225013928167e-06,4.9308272083660935e-06,0.02385738556339973,8.971258366588386e-05,0.002304717861865987,0.0001740258032029689,0.00426826233006933,,,,,,,1.0574759724912747e-05,,,,,,0.01923134598544789,0.007645604111132322,,,,0.03854640049329976,,0.0004486667842502273,,0.00426826233006933,,,0.004648372774310188,2.557426186701691e-08,,,,,,,
