CellType,Real_Score,P_Value
l6_it_sig,0.024649532246885493,0.0
l4_it_sig,0.08321136112964886,0.0
opc_sig,0.017144415588193067,0.0
sst_expr,0.10110036387271037,0.0
pvalb_expr,0.08336918776091816,0.0
pvalb_sig,0.08336918776091816,0.0
lamp5_sig,0.0389079751235736,0.0
sst_sig,0.10110036387271037,0.0
l2_3_it_sig,0.03135150014451677,0.001
astro_sig,0.012202161701701452,0.001
microglia_sig,0.02292468753096961,0.014
oligo_sig,0.010114829326511053,0.028
l6_ct_sig,0.008015993984828563,0.049
gad_sig,0.0022640429430285033,0.176
endothelial_sig,0.00919111694650903,0.255
l5_it_sig,-0.0010497696794825049,0.388
vip_sig,-0.0028641062855993783,0.61
pericyte_sig,-0.0038960996547715357,0.673
