CellType,Real_Score,P_Value
gad_sig,0.007616172495475055,0.007
l5_it_sig,0.009827865252560212,0.027
endothelial_sig,-0.0030662617000040706,0.695
pericyte_sig,0.01676813421645254,0.811
l6_it_sig,-0.0061876558696762245,0.833
vip_sig,-0.014265762404375713,0.965
astro_sig,-0.003147679806556127,0.987
oligo_sig,-0.011424142448773779,0.996
sst_expr,0.08369978658730501,0.998
l4_it_sig,0.02348787825268443,0.998
sst_sig,0.08369978658730501,0.998
microglia_sig,0.08748847031049219,0.999
opc_sig,-0.005200086173889372,1.0
lamp5_sig,-0.04157349330195724,1.0
l6_ct_sig,-0.014490288691008792,1.0
l2_3_it_sig,-0.018170210093932295,1.0
pvalb_sig,0.1372883319592886,1.0
pvalb_expr,0.1372883319592886,1.0
