CellType,Real_Score,P_Value
pericyte_sig,0.002940696995240642,0.018
l6_ct_sig,0.004266175960247476,0.087
pvalb_expr,-0.003202577849039456,0.21
pvalb_sig,-0.003202577849039456,0.21
opc_sig,0.00024405304970828977,0.281
oligo_sig,0.00014636709267177607,0.334
lamp5_sig,0.0019860641436631934,0.368
astro_sig,-0.00034692283490208475,0.444
l6_it_sig,-8.286103728046427e-05,0.701
l5_it_sig,-0.008333878118582107,0.843
gad_sig,-0.005035774682106291,0.933
endothelial_sig,-0.009162203679094387,0.943
l2_3_it_sig,-0.010244240950609503,0.949
microglia_sig,0.006963230369221224,0.97
vip_sig,-0.009389902622809684,0.974
sst_expr,-0.02754098028364344,0.983
sst_sig,-0.02754098028364344,0.983
l4_it_sig,-0.028962100181631673,0.999
