CellType,Real_Score,P_Value
l2_3_it_sig,0.14600537155678728,0.0
l6_it_sig,0.12487577375872498,0.0
l5_it_sig,0.05279393275833332,0.0
l4_it_sig,0.30047341240804026,0.0
microglia_sig,0.1863929308839096,0.0
sst_expr,0.24030196196789988,0.002
sst_sig,0.24030196196789988,0.002
astro_sig,0.017077721580791457,0.107
opc_sig,0.019610591363839934,0.248
vip_sig,0.02272092518086374,0.359
gad_sig,-0.0024009436539737163,0.531
pericyte_sig,0.03376416560261188,0.66
endothelial_sig,-0.027460198911221517,0.797
l6_ct_sig,0.0014894211864809714,0.842
pvalb_expr,0.16240288662750735,0.962
pvalb_sig,0.16240288662750735,0.962
oligo_sig,-0.021465170493524227,0.979
lamp5_sig,-0.09166815591851783,1.0
