,ctx-lh-7Networks_LH_Vis_1,ctx-lh-7Networks_LH_Vis_2,ctx-lh-7Networks_LH_Vis_3,ctx-lh-7Networks_LH_Vis_4,ctx-lh-7Networks_LH_Vis_5,ctx-lh-7Networks_LH_Vis_6,ctx-lh-7Networks_LH_Vis_7,ctx-lh-7Networks_LH_Vis_8,ctx-lh-7Networks_LH_Vis_9,ctx-lh-7Networks_LH_SomMot_1,ctx-lh-7Networks_LH_SomMot_2,ctx-lh-7Networks_LH_SomMot_3,ctx-lh-7Networks_LH_SomMot_4,ctx-lh-7Networks_LH_SomMot_5,ctx-lh-7Networks_LH_SomMot_6,ctx-lh-7Networks_LH_DorsAttn_Post_1,ctx-lh-7Networks_LH_DorsAttn_Post_2,ctx-lh-7Networks_LH_DorsAttn_Post_3,ctx-lh-7Networks_LH_DorsAttn_Post_4,ctx-lh-7Networks_LH_DorsAttn_Post_5,ctx-lh-7Networks_LH_DorsAttn_Post_6,ctx-lh-7Networks_LH_DorsAttn_PrCv_1,ctx-lh-7Networks_LH_DorsAttn_FEF_1,ctx-lh-7Networks_LH_SalVentAttn_ParOper_1,ctx-lh-7Networks_LH_SalVentAttn_FrOperIns_1,ctx-lh-7Networks_LH_SalVentAttn_FrOperIns_2,ctx-lh-7Networks_LH_SalVentAttn_PFCl_1,ctx-lh-7Networks_LH_SalVentAttn_Med_1,ctx-lh-7Networks_LH_SalVentAttn_Med_2,ctx-lh-7Networks_LH_SalVentAttn_Med_3,ctx-lh-7Networks_LH_Limbic_OFC_1,ctx-lh-7Networks_LH_Limbic_TempPole_1,ctx-lh-7Networks_LH_Limbic_TempPole_2,ctx-lh-7Networks_LH_Cont_Par_1,ctx-lh-7Networks_LH_Cont_PFCl_1,ctx-lh-7Networks_LH_Cont_pCun_1,ctx-lh-7Networks_LH_Cont_Cing_1,ctx-lh-7Networks_LH_Default_Temp_1,ctx-lh-7Networks_LH_Default_Temp_2,ctx-lh-7Networks_LH_Default_Par_1,ctx-lh-7Networks_LH_Default_Par_2,ctx-lh-7Networks_LH_Default_PFC_1,ctx-lh-7Networks_LH_Default_PFC_2,ctx-lh-7Networks_LH_Default_PFC_3,ctx-lh-7Networks_LH_Default_PFC_4,ctx-lh-7Networks_LH_Default_PFC_5,ctx-lh-7Networks_LH_Default_PFC_6,ctx-lh-7Networks_LH_Default_PFC_7,ctx-lh-7Networks_LH_Default_pCunPCC_1,ctx-lh-7Networks_LH_Default_pCunPCC_2,ctx-rh-7Networks_RH_Vis_1,ctx-rh-7Networks_RH_Vis_2,ctx-rh-7Networks_RH_Vis_3,ctx-rh-7Networks_RH_Vis_4,ctx-rh-7Networks_RH_Vis_5,ctx-rh-7Networks_RH_Vis_6,ctx-rh-7Networks_RH_Vis_7,ctx-rh-7Networks_RH_Vis_8,ctx-rh-7Networks_RH_SomMot_1,ctx-rh-7Networks_RH_SomMot_2,ctx-rh-7Networks_RH_SomMot_3,ctx-rh-7Networks_RH_SomMot_4,ctx-rh-7Networks_RH_SomMot_5,ctx-rh-7Networks_RH_SomMot_6,ctx-rh-7Networks_RH_SomMot_7,ctx-rh-7Networks_RH_SomMot_8,ctx-rh-7Networks_RH_DorsAttn_Post_1,ctx-rh-7Networks_RH_DorsAttn_Post_2,ctx-rh-7Networks_RH_DorsAttn_Post_3,ctx-rh-7Networks_RH_DorsAttn_Post_4,ctx-rh-7Networks_RH_DorsAttn_Post_5,ctx-rh-7Networks_RH_DorsAttn_PrCv_1,ctx-rh-7Networks_RH_DorsAttn_FEF_1,ctx-rh-7Networks_RH_SalVentAttn_TempOccPar_1,ctx-rh-7Networks_RH_SalVentAttn_TempOccPar_2,ctx-rh-7Networks_RH_SalVentAttn_FrOperIns_1,ctx-rh-7Networks_RH_SalVentAttn_Med_1,ctx-rh-7Networks_RH_SalVentAttn_Med_2,ctx-rh-7Networks_RH_Limbic_OFC_1,ctx-rh-7Networks_RH_Limbic_TempPole_1,ctx-rh-7Networks_RH_Cont_Par_1,ctx-rh-7Networks_RH_Cont_Par_2,ctx-rh-7Networks_RH_Cont_PFCl_1,ctx-rh-7Networks_RH_Cont_PFCl_2,ctx-rh-7Networks_RH_Cont_PFCl_3,ctx-rh-7Networks_RH_Cont_PFCl_4,ctx-rh-7Networks_RH_Cont_Cing_1,ctx-rh-7Networks_RH_Cont_PFCmp_1,ctx-rh-7Networks_RH_Cont_pCun_1,ctx-rh-7Networks_RH_Default_Par_1,ctx-rh-7Networks_RH_Default_Temp_1,ctx-rh-7Networks_RH_Default_Temp_2,ctx-rh-7Networks_RH_Default_Temp_3,ctx-rh-7Networks_RH_Default_PFCv_1,ctx-rh-7Networks_RH_Default_PFCv_2,ctx-rh-7Networks_RH_Default_PFCdPFCm_1,ctx-rh-7Networks_RH_Default_PFCdPFCm_2,ctx-rh-7Networks_RH_Default_PFCdPFCm_3,ctx-rh-7Networks_RH_Default_pCunPCC_1,ctx-rh-7Networks_RH_Default_pCunPCC_2
ctx-lh-7Networks_LH_Vis_1,,,0.04501390830702788,,,,,,,0.028145331775106863,,0.03174741379542039,,,,,0.0026534446817040726,0.023404502346880636,0.033692201054976535,,,0.0002000010563420475,0.00018198963433251343,1.3325271233047878e-06,0.0013949109914208942,3.811102494961646e-06,0.012242134841257735,1.6893389273926478e-06,0.0149495342147951,5.995867193109413e-06,0.0038990236528399333,0.00164335126639262,,0.010687898753388046,0.0005955296437507381,,0.006082111561896785,0.002868754369170251,6.87858074599153e-05,4.592091052600197e-05,0.002868754369170251,0.002868754369170251,0.0002000010563420475,,0.007543199130708124,0.011441597666133342,0.0009174603064524275,0.0378889856637391,,,,,,,,,,,0.004204405115949,0.04501390830702788,0.0022665281899647443,,0.006538028593350701,,,,0.03174741379542039,,0.02989974220498233,,,0.004881156223946203,0.0009174603064524275,0.000545353994626353,0.0015144418449828856,0.00070903023059254,0.0005955296437507381,1.6893389273926478e-06,,0.0007730390463784417,0.008096032961160874,,,,0.04252267886862716,,,7.4965445126736155e-06,,,,0.009978699050886634,0.0002196784391394249,0.02064376776880027,0.00018198963433251343,,,,,
ctx-lh-7Networks_LH_Vis_2,,,,,0.0004174706108688973,,0.026480419368752773,,,0.0149495342147951,,,,,,0.04014913007792041,,,,,,0.02064376776880027,,,,,,,,,5.71115921695035e-07,0.011441597666133342,,0.0149495342147951,0.033692201054976535,,0.0149495342147951,0.002453010112841495,0.006538028593350701,0.021986441430485625,0.04014913007792041,0.035738047947170795,0.0010865686478563443,,0.01703567876999122,,,,0.004531341366583098,0.004881156223946203,0.010687898753388046,,0.035738047947170795,0.015962647409527828,,,,0.021986441430485625,0.003347946256796771,,,,,0.02989974220498233,,,0.008096032961160874,,,,,,,0.0004991418891463061,,,,,0.001284138800611035,0.005255239377769627,,,0.02064376776880027,,,0.007543199130708124,,,,,0.02064376776880027,0.0002196784391394249,0.0009174603064524275,0.003347946256796771,,,,,0.002868754369170251,0.010687898753388046
ctx-lh-7Networks_LH_Vis_3,,,,0.01937319372018187,3.811102494961646e-06,,0.005255239377769627,,0.035738047947170795,0.011441597666133342,,,0.005255239377769627,,0.02989974220498233,,,,,,,0.0038990236528399333,,,,0.005655048536007725,,,,0.000545353994626353,0.004531341366583098,0.02064376776880027,,,,,,0.0003484242224276561,0.0038990236528399333,0.001284138800611035,,0.009311748695341885,0.002868754369170251,,,,,,0.013993534804628258,0.01703567876999122,4.592091052600197e-05,,0.003613936876850675,0.0017822968078459003,0.04014913007792041,,,,0.006538028593350701,,0.04252267886862716,0.009311748695341885,0.023404502346880636,0.0038990236528399333,,0.011441597666133342,0.00011263120108871335,,,,,,,1.0438443634931287e-05,,0.04501390830702788,,0.0005955296437507381,,0.0007730390463784417,,,,,,0.0149495342147951,,,,,0.004881156223946203,1.0438443634931287e-05,7.4965445126736155e-06,0.006082111561896785,0.006082111561896785,,,,0.033692201054976535,
ctx-lh-7Networks_LH_Vis_4,,,,,0.021986441430485625,0.04014913007792041,0.02490133483705462,0.002868754369170251,0.018171528606674946,,,,,,,,,,,,,,,,,,,,,,0.0149495342147951,,,,,,,,,,,,,,,,,,,,,0.0026534446817040726,,,0.0378889856637391,0.009978699050886634,0.006538028593350701,0.0010865686478563443,,,,0.04762716969782298,0.010687898753388046,,,,,,,,,,,,,,,,0.004881156223946203,,,,0.002868754369170251,,,,,,,,,,,,,,,,,
ctx-lh-7Networks_LH_Vis_5,,,,,,0.005255239377769627,0.0030999126890538754,2.21818403130123e-05,4.1453399795256e-05,,,,0.0003814890692447533,0.00011263120108871335,0.028145331775106863,0.04501390830702788,,,0.035738047947170795,,0.0149495342147951,,0.04252267886862716,,,,,,,,0.001181541277294526,,,,,0.0001366803560279543,0.00031805669829265725,,,,,,,,0.0017822968078459003,,,,,0.03174741379542039,,0.0015144418449828856,,0.0378889856637391,,3.398367775442856e-06,0.0017822968078459003,1.867328816760152e-10,,,,0.00018198963433251343,0.000842381667025785,0.007024474137243577,0.001181541277294526,,,0.013993534804628258,,,,,,,,,,,0.013091939985512287,,,0.028145331775106863,0.003347946256796771,,0.035738047947170795,,0.00024116382188849904,0.01703567876999122,0.0007730390463784417,,,,,0.015962647409527828,,,,,,0.008684885436352954
ctx-lh-7Networks_LH_Vis_6,,,,,,,,,,,,,,,,,,,,,,0.013993534804628258,,,0.0006499781687300654,5.626225979415093e-05,,0.02490133483705462,,0.010687898753388046,,,,,,,,,,,,0.018171528606674946,,,,,,,,,0.013993534804628258,,,0.028145331775106863,,,,,,,,,,,,,,,,,,,,0.0004174706108688973,0.035738047947170795,0.001284138800611035,,0.0022665281899647443,,,,,,,,,0.04014913007792041,0.02490133483705462,,,,,0.0015144418449828856,,0.026480419368752773,,,,,
ctx-lh-7Networks_LH_Vis_7,,,,,,,,,0.004531341366583098,0.00015044703217337207,0.0149495342147951,0.006538028593350701,8.391814717243937e-05,0.007543199130708124,0.0005955296437507381,,,,,,0.035738047947170795,,,,,0.03174741379542039,,,,0.000998703722200433,0.026480419368752773,,,,,,,0.02064376776880027,,,,,,,,,,,0.0030999126890538754,,0.013091939985512287,,0.0007730390463784417,,,0.0005955296437507381,0.033692201054976535,,1.2981545094374404e-05,0.0019319754537214658,0.007024474137243577,6.22262469968596e-05,0.011441597666133342,0.00045660414678264034,0.004531341366583098,0.000998703722200433,0.01703567876999122,0.0030999126890538754,0.04252267886862716,,,0.04762716969782298,,0.00016551236844996448,0.015962647409527828,,0.006538028593350701,0.012242134841257735,0.026480419368752773,0.04501390830702788,,,,,,,,,,,,0.01937319372018187,0.002453010112841495,,,,,,0.015962647409527828,
ctx-lh-7Networks_LH_Vis_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02989974220498233,,,,,,,,,,,,,0.04762716969782298,,,0.0013949109914208942,,,,,,,,,,0.01703567876999122,,,,,,,,,,0.0378889856637391,,,,,,0.018171528606674946,,,,,,,,,,,,0.02989974220498233,,,,,,,,
ctx-lh-7Networks_LH_Vis_9,,,,,,,,,,,,0.0149495342147951,0.026480419368752773,,0.013993534804628258,,,,,,,,,,0.018171528606674946,0.005255239377769627,,,,0.0030999126890538754,,,,,,,,,,,,,,,,,,,,,0.0026534446817040726,,,0.04014913007792041,,0.0017822968078459003,,,0.018171528606674946,,0.02490133483705462,0.01937319372018187,,,,0.018171528606674946,0.011441597666133342,,,,,,,0.00018198963433251343,,,,0.0007730390463784417,,0.0026534446817040726,,,,,,,,,,,,0.0026534446817040726,0.015962647409527828,,,,,,,
ctx-lh-7Networks_LH_SomMot_1,,,,,,,,,,,1.164385970626259e-05,0.007543199130708124,0.04762716969782298,,,0.023404502346880636,,,,,,,,,,,,,,,0.0149495342147951,0.00010216184578484651,,,,,,7.599638167488542e-05,0.04252267886862716,0.0010865686478563443,,0.0019319754537214658,0.04252267886862716,,,,,,0.0020931254519639345,,5.995867193109413e-06,0.03174741379542039,0.02064376776880027,,,0.0007730390463784417,,,5.35796136032919e-06,0.000842381667025785,,0.008096032961160874,,,,,0.000545353994626353,0.04252267886862716,,,0.04252267886862716,,,0.000998703722200433,,,,0.013993534804628258,,0.02989974220498233,,,,,,,,,,,0.006082111561896785,0.0002646101712263589,0.002453010112841495,,,,,,0.02064376776880027,
