CellType,Real_Score,P_Value
l6_ct_sig,0.0103472891215137,0.0
pvalb_sig,0.05719122075988874,0.0
sst_expr,0.015958139949041206,0.0
microglia_sig,0.027366161140144955,0.0
pvalb_expr,0.05719122075988874,0.0
sst_sig,0.015958139949041206,0.0
vip_sig,0.012960531612180753,0.0
opc_sig,0.005310102123485262,0.001
l4_it_sig,0.006078761395841742,0.009
oligo_sig,0.0021861139716566587,0.03
astro_sig,0.0015002101550943218,0.031
l2_3_it_sig,0.0016578346430978835,0.05
lamp5_sig,0.006272493546203111,0.067
gad_sig,-0.00016426608374102344,0.397
l6_it_sig,-0.0013900437218335037,0.609
endothelial_sig,0.00016014250809798914,0.786
pericyte_sig,-0.004116088019131075,0.918
l5_it_sig,-0.006050392221201707,0.943
