CellType,Real_Score,P_Value
microglia_sig,0.17206667828441224,0.028
sst_expr,0.18501675674544482,0.036
sst_sig,0.18501675674544482,0.036
oligo_sig,0.07493972602258285,0.183
pvalb_sig,0.1357030938211671,0.195
pvalb_expr,0.1357030938211671,0.195
l5_it_sig,0.026332644420700487,0.254
vip_sig,0.024549088968429417,0.262
opc_sig,-0.006280436601375414,0.394
l2_3_it_sig,-0.014996425132206781,0.519
l6_ct_sig,-0.02470826022332297,0.533
pericyte_sig,-0.012407447011833215,0.534
astro_sig,-0.016572567541772002,0.59
endothelial_sig,-0.05768001938574305,0.82
l4_it_sig,-0.09582975855489133,0.843
lamp5_sig,-0.16076055874430528,0.915
gad_sig,-0.027995750663548553,0.971
l6_it_sig,-0.0669742710200394,0.979
