,ctx-lh-7Networks_LH_Vis_1,ctx-lh-7Networks_LH_Vis_2,ctx-lh-7Networks_LH_Vis_3,ctx-lh-7Networks_LH_Vis_4,ctx-lh-7Networks_LH_Vis_5,ctx-lh-7Networks_LH_Vis_6,ctx-lh-7Networks_LH_Vis_7,ctx-lh-7Networks_LH_Vis_8,ctx-lh-7Networks_LH_Vis_9,ctx-lh-7Networks_LH_SomMot_1,ctx-lh-7Networks_LH_SomMot_2,ctx-lh-7Networks_LH_SomMot_3,ctx-lh-7Networks_LH_SomMot_4,ctx-lh-7Networks_LH_SomMot_5,ctx-lh-7Networks_LH_SomMot_6,ctx-lh-7Networks_LH_DorsAttn_Post_1,ctx-lh-7Networks_LH_DorsAttn_Post_2,ctx-lh-7Networks_LH_DorsAttn_Post_3,ctx-lh-7Networks_LH_DorsAttn_Post_4,ctx-lh-7Networks_LH_DorsAttn_Post_5,ctx-lh-7Networks_LH_DorsAttn_Post_6,ctx-lh-7Networks_LH_DorsAttn_PrCv_1,ctx-lh-7Networks_LH_DorsAttn_FEF_1,ctx-lh-7Networks_LH_SalVentAttn_ParOper_1,ctx-lh-7Networks_LH_SalVentAttn_FrOperIns_1,ctx-lh-7Networks_LH_SalVentAttn_FrOperIns_2,ctx-lh-7Networks_LH_SalVentAttn_PFCl_1,ctx-lh-7Networks_LH_SalVentAttn_Med_1,ctx-lh-7Networks_LH_SalVentAttn_Med_2,ctx-lh-7Networks_LH_SalVentAttn_Med_3,ctx-lh-7Networks_LH_Limbic_OFC_1,ctx-lh-7Networks_LH_Limbic_TempPole_1,ctx-lh-7Networks_LH_Limbic_TempPole_2,ctx-lh-7Networks_LH_Cont_Par_1,ctx-lh-7Networks_LH_Cont_PFCl_1,ctx-lh-7Networks_LH_Cont_pCun_1,ctx-lh-7Networks_LH_Cont_Cing_1,ctx-lh-7Networks_LH_Default_Temp_1,ctx-lh-7Networks_LH_Default_Temp_2,ctx-lh-7Networks_LH_Default_Par_1,ctx-lh-7Networks_LH_Default_Par_2,ctx-lh-7Networks_LH_Default_PFC_1,ctx-lh-7Networks_LH_Default_PFC_2,ctx-lh-7Networks_LH_Default_PFC_3,ctx-lh-7Networks_LH_Default_PFC_4,ctx-lh-7Networks_LH_Default_PFC_5,ctx-lh-7Networks_LH_Default_PFC_6,ctx-lh-7Networks_LH_Default_PFC_7,ctx-lh-7Networks_LH_Default_pCunPCC_1,ctx-lh-7Networks_LH_Default_pCunPCC_2,ctx-rh-7Networks_RH_Vis_1,ctx-rh-7Networks_RH_Vis_2,ctx-rh-7Networks_RH_Vis_3,ctx-rh-7Networks_RH_Vis_4,ctx-rh-7Networks_RH_Vis_5,ctx-rh-7Networks_RH_Vis_6,ctx-rh-7Networks_RH_Vis_7,ctx-rh-7Networks_RH_Vis_8,ctx-rh-7Networks_RH_SomMot_1,ctx-rh-7Networks_RH_SomMot_2,ctx-rh-7Networks_RH_SomMot_3,ctx-rh-7Networks_RH_SomMot_4,ctx-rh-7Networks_RH_SomMot_5,ctx-rh-7Networks_RH_SomMot_6,ctx-rh-7Networks_RH_SomMot_7,ctx-rh-7Networks_RH_SomMot_8,ctx-rh-7Networks_RH_DorsAttn_Post_1,ctx-rh-7Networks_RH_DorsAttn_Post_2,ctx-rh-7Networks_RH_DorsAttn_Post_3,ctx-rh-7Networks_RH_DorsAttn_Post_4,ctx-rh-7Networks_RH_DorsAttn_Post_5,ctx-rh-7Networks_RH_DorsAttn_PrCv_1,ctx-rh-7Networks_RH_DorsAttn_FEF_1,ctx-rh-7Networks_RH_SalVentAttn_TempOccPar_1,ctx-rh-7Networks_RH_SalVentAttn_TempOccPar_2,ctx-rh-7Networks_RH_SalVentAttn_FrOperIns_1,ctx-rh-7Networks_RH_SalVentAttn_Med_1,ctx-rh-7Networks_RH_SalVentAttn_Med_2,ctx-rh-7Networks_RH_Limbic_OFC_1,ctx-rh-7Networks_RH_Limbic_TempPole_1,ctx-rh-7Networks_RH_Cont_Par_1,ctx-rh-7Networks_RH_Cont_Par_2,ctx-rh-7Networks_RH_Cont_PFCl_1,ctx-rh-7Networks_RH_Cont_PFCl_2,ctx-rh-7Networks_RH_Cont_PFCl_3,ctx-rh-7Networks_RH_Cont_PFCl_4,ctx-rh-7Networks_RH_Cont_Cing_1,ctx-rh-7Networks_RH_Cont_PFCmp_1,ctx-rh-7Networks_RH_Cont_pCun_1,ctx-rh-7Networks_RH_Default_Par_1,ctx-rh-7Networks_RH_Default_Temp_1,ctx-rh-7Networks_RH_Default_Temp_2,ctx-rh-7Networks_RH_Default_Temp_3,ctx-rh-7Networks_RH_Default_PFCv_1,ctx-rh-7Networks_RH_Default_PFCv_2,ctx-rh-7Networks_RH_Default_PFCdPFCm_1,ctx-rh-7Networks_RH_Default_PFCdPFCm_2,ctx-rh-7Networks_RH_Default_PFCdPFCm_3,ctx-rh-7Networks_RH_Default_pCunPCC_1,ctx-rh-7Networks_RH_Default_pCunPCC_2
ctx-lh-7Networks_LH_Vis_1,,,,,,,0.03515788157768227,,,0.0039823261946484835,,0.024898129042467517,0.01473831590072526,0.00046189186099628563,0.009552298846176279,,0.009091440858145746,0.00250215951979903,0.04152614432731339,0.00037018500631467397,0.0012225423150396988,0.0030364839029505407,0.00037018500631467397,,,0.019456681353389654,,,0.00032576712154070374,0.03515788157768227,0.008650633099403155,,,0.000650051528458415,0.0028740279333710514,,0.008025371097107081,,0.021785181519491454,0.021785181519491454,0.0007807872073167002,0.001259013877631715,0.021785181519491454,0.0032073186113508005,,0.021300881520931847,0.01990408093447403,6.073606070906439e-05,0.029012957318721617,0.010537297989700623,0.01990408093447403,,,,,,,,0.0008811558368272043,0.010797321826333875,,,0.0018876695228320737,0.008229120975070467,0.006065772980705117,0.016184300327110036,0.00377399836937079,0.018588301853046406,0.008229120975070467,0.011895669814706142,0.007073146072990246,0.0021144975617839604,0.0008295573494189739,0.02036048180804246,,0.01439520109929732,0.008437511366231002,0.0038768848863804674,,0.03590507506745642,0.019456681353389654,0.005911113552253936,0.007631436435122084,0.008437511366231002,0.003575670695773087,0.000420247478324403,0.03515788157768227,0.010033984408421206,0.020826032084663156,0.000491772038714599,0.03299582546656877,0.0002066704577114749,0.00467183321554757,0.002795826215697422,0.007073146072990246,0.000993442582506246,,8.309496127205008e-05,0.027182445440738712,0.027182445440738712
ctx-lh-7Networks_LH_Vis_2,,,0.0010235239926520718,,,0.0065519797634191424,0.0029542319481310046,0.005468329247853131,0.0007807872073167002,0.00012956330244151234,0.0018345852196675885,0.0006911674759119597,8.309496127205008e-05,6.746151834594979e-05,0.0009357321108921465,,,0.031618863660769776,0.024898129042467517,0.0065519797634191424,0.0017828825114006028,0.005468329247853131,0.0014999032704069728,,0.00725500806239162,,0.0023662157499736974,0.0232963235925576,0.00029579778696099934,0.021300881520931847,,,,0.042387313045434444,0.018167033935904537,,0.008650633099403155,,0.0004071678259360877,0.03822883256135845,,,0.010797321826333875,,,0.00250215951979903,0.00377399836937079,0.008650633099403155,,0.019456681353389654,,0.017349634084480314,,,,0.0017828825114006028,0.010033984408421206,0.0019421686446203152,0.00012525634377379268,0.0023662157499736974,,0.017349634084480314,0.0005400065002761606,8.309496127205008e-05,0.002795826215697422,0.004201098237324912,,0.00409037830239237,0.009091440858145746,0.0406799105905482,0.005190089588142032,0.0028740279333710514,0.0008295573494189739,,,,0.029012957318721617,0.004430774875257311,,,,,,,0.016184300327110036,0.006224086874839752,0.0019421686446203152,,0.024353854160049048,,,0.044155259473214664,0.004430774875257311,,,0.019018136599745605,0.01161212850422082,,,
ctx-lh-7Networks_LH_Vis_3,,,,0.015088655500643002,,0.03515788157768227,0.0002684380644158558,0.001998116497794818,0.0032073186113508005,6.985659939903535e-05,0.04692425076394147,0.0005073826101493172,0.0002863987577344744,8.375878303119812e-06,0.0013350046874629731,,,0.015088655500643002,0.01544634681936749,,0.004796784297371146,0.010797321826333875,0.004201098237324912,,0.008437511366231002,,,,0.033703444039684366,0.008868578391322452,,,,,0.011063063472872846,,,,0.013407960238133128,,,,0.012185364804995595,,,0.04506244246643343,0.04326361742860162,,,,,0.0028740279333710514,0.020826032084663156,0.011334629630255152,,0.00782617227980389,0.0012225423150396988,0.0005234565443160453,0.00019996957022493453,0.0007347026766159247,,0.04326361742860162,0.0010544509013814503,1.53354526970828e-05,0.0009357321108921465,0.0004071678259360877,,0.011895669814706142,,0.019018136599745605,0.04326361742860162,0.04326361742860162,0.006386130350268087,,,,,,,,,,,,,0.03590507506745642,,,,,,0.03666583719074973,0.02778116345589266,0.014059185775577928,0.03515788157768227,0.007631436435122084,0.018167033935904537,,,
ctx-lh-7Networks_LH_Vis_4,,,,,,0.029012957318721617,,,0.016184300327110036,,,0.009319315526800714,,,,,,,,,0.01990408093447403,,,,,,0.00029579778696099934,0.03590507506745642,0.006386130350268087,0.03822883256135845,,,,,,0.04885069354999962,0.014059185775577928,,0.00725500806239162,,,,,0.04152614432731339,,,0.017349634084480314,,,0.029012957318721617,,,,,,,,0.021300881520931847,0.03744035889219098,,,,,0.04506244246643343,,,,,,,0.03984841248533064,,0.044155259473214664,,,,,,,,,,,,0.02778116345589266,,0.0013745749636361352,,,,,,0.005760034701887436,,,,,,,0.04787928888780661
ctx-lh-7Networks_LH_Vis_5,,,,,,0.04983867413463827,,,,0.03515788157768227,,0.0018345852196675885,0.012481326250622215,0.008650633099403155,,,,,,,0.012185364804995595,,0.02227908512855757,,,,0.016184300327110036,0.04692425076394147,0.002795826215697422,,,,,,,,,,0.0014999032704069728,,,0.020826032084663156,,,,,0.0065519797634191424,,,0.007441076827613397,,,,0.0406799105905482,,,,,0.015088655500643002,,,,,0.01990408093447403,0.02659495154765505,0.020826032084663156,,0.04692425076394147,,,0.0013350046874629731,,0.004549850848495856,,,,,,,,,,,,,,0.006386130350268087,,,,,,0.013092507322833565,,,0.04885069354999962,,,,0.009319315526800714
ctx-lh-7Networks_LH_Vis_6,,,,,,,0.004796784297371146,0.04326361742860162,0.030291719999246246,0.0005570454473965955,,0.015811518382631572,0.0007807872073167002,0.00037018500631467397,0.002175002144520953,,,,,,0.00782617227980389,0.004796784297371146,0.009091440858145746,,,,,,0.008229120975070467,,,,,,0.013407960238133128,,,,,,,0.029012957318721617,,,,,0.00782617227980389,,,,,0.024898129042467517,,0.008229120975070467,0.00782617227980389,0.03230102650543439,0.011063063472872846,,0.002175002144520953,,,,0.01990408093447403,0.003575670695773087,0.0065519797634191424,0.001118928232531936,,,,,0.013407960238133128,,,,,,,,,,,,,,,,,,,,,,0.03984841248533064,,,0.005055847391768979,,,,
ctx-lh-7Networks_LH_Vis_7,,,,,,,,,0.000420247478324403,2.766204159831525e-05,0.0004071678259360877,4.33434606793782e-06,0.003480122503399957,0.00019347420539016092,0.017754191312147432,,,,0.0232963235925576,,0.003575670695773087,,0.003120830319635943,,4.687661184848015e-06,0.00025986086625174893,0.0011525233914112245,0.0019421686446203152,0.0018876695228320737,0.0019421686446203152,,,,,0.005190089588142032,0.033703444039684366,,0.005911113552253936,0.016953223991716,,,,,0.024898129042467517,,0.011063063472872846,0.009790488698146759,,,,,0.017349634084480314,,,0.018167033935904537,0.0011870535399725963,0.016564824405581397,0.005190089588142032,5.0922921383832564e-05,0.00018717846832433217,0.0036736116418987093,0.01161212850422082,0.015088655500643002,7.48914538152313e-05,0.0014999032704069728,0.004201098237324912,,0.009319315526800714,,,0.013730146202096461,0.03590507506745642,0.013730146202096461,,,0.04598537096344486,,0.006065772980705117,,,,,,0.017754191312147432,,,,0.00409037830239237,,,,0.0017828825114006028,0.00031547357875851435,0.02036048180804246,0.03230102650543439,0.00377399836937079,0.001589246650675691,,0.024898129042467517,
ctx-lh-7Networks_LH_Vis_8,,,,,,,,,0.02601851241445852,0.0043145440596793014,0.018167033935904537,0.005612463757156758,0.04326361742860162,0.012185364804995595,,,,,,,,,,,0.0005926437832681259,0.016564824405581397,0.013730146202096461,0.033703444039684366,,0.04598537096344486,,,,,,,,0.033703444039684366,0.030949154966812553,,,,0.029012957318721617,,,,0.019018136599745605,,,,,0.03822883256135845,,0.02227908512855757,,,0.02778116345589266,0.008650633099403155,0.009091440858145746,0.007441076827613397,,,,0.005760034701887436,,,,,,,,,0.042387313045434444,,,,,,,,,,,,,,,,,,,0.02659495154765505,0.03442406723766198,,,0.01439520109929732,0.04787928888780661,,,
ctx-lh-7Networks_LH_Vis_9,,,,,,,,,,0.0019421686446203152,0.005612463757156758,0.0008048278102569301,0.0016357418220203513,0.008437511366231002,,,,,,,,0.03984841248533064,,,0.0043145440596793014,0.030291719999246246,0.04506244246643343,,,,,,,,0.016953223991716,,,,,,,,0.0232963235925576,0.027182445440738712,,,0.04506244246643343,,,,,0.0002684380644158558,0.009319315526800714,0.000491772038714599,0.00782617227980389,0.004796784297371146,0.0017828825114006028,,0.003575670695773087,0.0032073186113508005,,,0.018167033935904537,0.0065519797634191424,,0.010033984408421206,,,,,,,0.04983867413463827,,,,,,,,,,,,,,,,,,,0.00782617227980389,,,,0.0027195820185111734,0.04506244246643343,,,
ctx-lh-7Networks_LH_SomMot_1,,,,,,,,,,,4.658413476481892e-09,5.456168283815872e-10,1.1791618376159063e-05,8.702330063727866e-06,3.5637942390996434e-05,0.044155259473214664,0.00492476751282628,0.03442406723766198,0.00012956330244151234,0.00015328524096692853,7.753641646515335e-05,0.00019996957022493453,2.5716821657072197e-05,0.0007574179064204156,0.00039447108621198365,6.194769244397205e-09,0.0002066704577114749,5.068619273190225e-06,1.8032625225731863e-06,0.00010934753931306776,,,,,0.0004071678259360877,0.021300881520931847,0.01990408093447403,,0.006386130350268087,0.0007126246823766227,,0.003480122503399957,0.0232963235925576,0.0009357321108921465,,0.00035857563211994767,0.011895669814706142,0.006386130350268087,0.002175002144520953,,0.028391276560248757,0.0012225423150396988,,0.024898129042467517,0.003295997095202628,0.0005745866718581855,0.03666583719074973,0.01990408093447403,3.719900166000643e-07,4.136517166091372e-08,2.746879057576514e-08,1.5918377864023615e-05,1.060342261342976e-06,1.1513078465388012e-06,9.76346871564099e-07,8.375878303119812e-06,0.015088655500643002,0.00012956330244151234,0.005612463757156758,0.030291719999246246,0.001456997037231017,4.006746970897807e-06,7.48914538152313e-05,1.816444380356682e-08,0.00010213083497573611,0.00015328524096692853,2.3902770709415263e-05,1.731670365804517e-06,,,,,,1.320185158156768e-05,0.009790488698146759,0.003386915004889029,0.003575670695773087,9.368002910704387e-07,0.0013350046874629731,,,0.00725500806239162,9.536749570191042e-05,0.0030364839029505407,0.0018876695228320737,0.0010544509013814503,0.000420247478324403,0.00022071317961519336,9.869420889873922e-05,0.04983867413463827
