CellType,Real_Score,P_Value
l2_3_it_sig,0.036469512019179265,0.0
l4_it_sig,0.0390871604720224,0.0
opc_sig,0.011528103774583536,0.0
sst_expr,0.04128010642246222,0.0
pvalb_expr,0.10365122770586058,0.0
pvalb_sig,0.10365122770586058,0.0
lamp5_sig,0.03213007025186583,0.0
sst_sig,0.04128010642246222,0.0
astro_sig,0.009161277967820925,0.004
vip_sig,0.02010708926792405,0.005
l6_it_sig,0.014217354122209024,0.012
endothelial_sig,0.01578232313331104,0.016
l6_ct_sig,0.008296011846844822,0.025
microglia_sig,0.01656499926914225,0.04
pericyte_sig,0.0042636596786281514,0.12
oligo_sig,0.0020240952721492437,0.212
l5_it_sig,-0.0003882059932646435,0.328
gad_sig,-0.0062998367907014996,0.952
