CellType,Real_Score,P_Value
l6_it_sig,0.094069021894556,0.0
microglia_sig,0.14350315400028144,0.014
pvalb_expr,0.12502935525220113,0.095
pvalb_sig,0.12502935525220113,0.095
l5_it_sig,0.014694207534934622,0.109
l4_it_sig,0.13512437329613347,0.169
l2_3_it_sig,0.04500175585843284,0.273
astro_sig,0.022870750951605994,0.276
vip_sig,0.002343776747755317,0.289
opc_sig,0.013674653415170204,0.407
lamp5_sig,0.023605894901316753,0.523
pericyte_sig,0.015003008143976924,0.631
gad_sig,-0.004730925576905497,0.663
sst_expr,0.07584871847287401,0.887
sst_sig,0.07584871847287401,0.887
l6_ct_sig,-0.02158812132961364,0.908
endothelial_sig,-0.04126838488952049,0.943
oligo_sig,-0.016077266967591885,0.957
