CellType,Real_Score,P_Value
pvalb_expr,0.13731596320228065,0.0
pvalb_sig,0.13731596320228065,0.0
lamp5_sig,0.03846840271590036,0.0
l6_ct_sig,0.012632170450040458,0.007
opc_sig,0.01096957816503831,0.01
oligo_sig,0.0021922037297614438,0.159
sst_expr,0.016051398287794536,0.26
sst_sig,0.016051398287794536,0.26
gad_sig,-0.00024132624958479225,0.369
pericyte_sig,-2.293723793534185e-05,0.452
astro_sig,0.007476548003593179,0.489
microglia_sig,0.052415317736782915,0.503
vip_sig,-0.001332614442039596,0.846
l6_it_sig,-0.002493829499257108,0.895
endothelial_sig,-0.012929271630217523,0.988
l2_3_it_sig,-0.0233901620831019,0.999
l5_it_sig,-0.01797045731616815,1.0
l4_it_sig,-0.02233819438861074,1.0
