CellType,Real_Score,P_Value
gad_sig,0.0852365510964435,0.011
microglia_sig,0.17299867995310364,0.101
l5_it_sig,0.06808925847066317,0.281
oligo_sig,0.0071741072545445615,0.297
l6_it_sig,0.002457774514864272,0.338
endothelial_sig,-0.10994954343774883,0.534
pericyte_sig,0.06396228412180806,0.649
l2_3_it_sig,-0.0040859595546277805,0.661
vip_sig,0.021255097380568022,0.737
lamp5_sig,-0.025008014959234125,0.777
sst_sig,-0.09944894334803936,0.815
sst_expr,-0.09944894334803936,0.815
pvalb_sig,-0.07815662118390873,0.864
pvalb_expr,-0.07815662118390873,0.864
l6_ct_sig,-0.04632389325797883,0.901
opc_sig,-0.01425310164677747,0.931
astro_sig,-0.04414035634046734,0.99
l4_it_sig,-0.07078449303850116,0.99
