,ctx-lh-7Networks_LH_Vis_1,ctx-lh-7Networks_LH_Vis_2,ctx-lh-7Networks_LH_Vis_3,ctx-lh-7Networks_LH_Vis_4,ctx-lh-7Networks_LH_Vis_5,ctx-lh-7Networks_LH_Vis_6,ctx-lh-7Networks_LH_Vis_7,ctx-lh-7Networks_LH_Vis_8,ctx-lh-7Networks_LH_Vis_9,ctx-lh-7Networks_LH_SomMot_1,ctx-lh-7Networks_LH_SomMot_2,ctx-lh-7Networks_LH_SomMot_3,ctx-lh-7Networks_LH_SomMot_4,ctx-lh-7Networks_LH_SomMot_5,ctx-lh-7Networks_LH_SomMot_6,ctx-lh-7Networks_LH_DorsAttn_Post_1,ctx-lh-7Networks_LH_DorsAttn_Post_2,ctx-lh-7Networks_LH_DorsAttn_Post_3,ctx-lh-7Networks_LH_DorsAttn_Post_4,ctx-lh-7Networks_LH_DorsAttn_Post_5,ctx-lh-7Networks_LH_DorsAttn_Post_6,ctx-lh-7Networks_LH_DorsAttn_PrCv_1,ctx-lh-7Networks_LH_DorsAttn_FEF_1,ctx-lh-7Networks_LH_SalVentAttn_ParOper_1,ctx-lh-7Networks_LH_SalVentAttn_FrOperIns_1,ctx-lh-7Networks_LH_SalVentAttn_FrOperIns_2,ctx-lh-7Networks_LH_SalVentAttn_PFCl_1,ctx-lh-7Networks_LH_SalVentAttn_Med_1,ctx-lh-7Networks_LH_SalVentAttn_Med_2,ctx-lh-7Networks_LH_SalVentAttn_Med_3,ctx-lh-7Networks_LH_Limbic_OFC_1,ctx-lh-7Networks_LH_Limbic_TempPole_1,ctx-lh-7Networks_LH_Limbic_TempPole_2,ctx-lh-7Networks_LH_Cont_Par_1,ctx-lh-7Networks_LH_Cont_PFCl_1,ctx-lh-7Networks_LH_Cont_pCun_1,ctx-lh-7Networks_LH_Cont_Cing_1,ctx-lh-7Networks_LH_Default_Temp_1,ctx-lh-7Networks_LH_Default_Temp_2,ctx-lh-7Networks_LH_Default_Par_1,ctx-lh-7Networks_LH_Default_Par_2,ctx-lh-7Networks_LH_Default_PFC_1,ctx-lh-7Networks_LH_Default_PFC_2,ctx-lh-7Networks_LH_Default_PFC_3,ctx-lh-7Networks_LH_Default_PFC_4,ctx-lh-7Networks_LH_Default_PFC_5,ctx-lh-7Networks_LH_Default_PFC_6,ctx-lh-7Networks_LH_Default_PFC_7,ctx-lh-7Networks_LH_Default_pCunPCC_1,ctx-lh-7Networks_LH_Default_pCunPCC_2,ctx-rh-7Networks_RH_Vis_1,ctx-rh-7Networks_RH_Vis_2,ctx-rh-7Networks_RH_Vis_3,ctx-rh-7Networks_RH_Vis_4,ctx-rh-7Networks_RH_Vis_5,ctx-rh-7Networks_RH_Vis_6,ctx-rh-7Networks_RH_Vis_7,ctx-rh-7Networks_RH_Vis_8,ctx-rh-7Networks_RH_SomMot_1,ctx-rh-7Networks_RH_SomMot_2,ctx-rh-7Networks_RH_SomMot_3,ctx-rh-7Networks_RH_SomMot_4,ctx-rh-7Networks_RH_SomMot_5,ctx-rh-7Networks_RH_SomMot_6,ctx-rh-7Networks_RH_SomMot_7,ctx-rh-7Networks_RH_SomMot_8,ctx-rh-7Networks_RH_DorsAttn_Post_1,ctx-rh-7Networks_RH_DorsAttn_Post_2,ctx-rh-7Networks_RH_DorsAttn_Post_3,ctx-rh-7Networks_RH_DorsAttn_Post_4,ctx-rh-7Networks_RH_DorsAttn_Post_5,ctx-rh-7Networks_RH_DorsAttn_PrCv_1,ctx-rh-7Networks_RH_DorsAttn_FEF_1,ctx-rh-7Networks_RH_SalVentAttn_TempOccPar_1,ctx-rh-7Networks_RH_SalVentAttn_TempOccPar_2,ctx-rh-7Networks_RH_SalVentAttn_FrOperIns_1,ctx-rh-7Networks_RH_SalVentAttn_Med_1,ctx-rh-7Networks_RH_SalVentAttn_Med_2,ctx-rh-7Networks_RH_Limbic_OFC_1,ctx-rh-7Networks_RH_Limbic_TempPole_1,ctx-rh-7Networks_RH_Cont_Par_1,ctx-rh-7Networks_RH_Cont_Par_2,ctx-rh-7Networks_RH_Cont_PFCl_1,ctx-rh-7Networks_RH_Cont_PFCl_2,ctx-rh-7Networks_RH_Cont_PFCl_3,ctx-rh-7Networks_RH_Cont_PFCl_4,ctx-rh-7Networks_RH_Cont_Cing_1,ctx-rh-7Networks_RH_Cont_PFCmp_1,ctx-rh-7Networks_RH_Cont_pCun_1,ctx-rh-7Networks_RH_Default_Par_1,ctx-rh-7Networks_RH_Default_Temp_1,ctx-rh-7Networks_RH_Default_Temp_2,ctx-rh-7Networks_RH_Default_Temp_3,ctx-rh-7Networks_RH_Default_PFCv_1,ctx-rh-7Networks_RH_Default_PFCv_2,ctx-rh-7Networks_RH_Default_PFCdPFCm_1,ctx-rh-7Networks_RH_Default_PFCdPFCm_2,ctx-rh-7Networks_RH_Default_PFCdPFCm_3,ctx-rh-7Networks_RH_Default_pCunPCC_1,ctx-rh-7Networks_RH_Default_pCunPCC_2
ctx-lh-7Networks_LH_Vis_1,,0.01985713424354971,,,,,,,,0.0006405435171194905,,,,,,0.014719059038078202,0.006725448022325817,,,,0.04659068153111746,,,0.002325940101565674,,0.013565501946967692,,0.004918626149277358,,,,,,,0.047410553640505594,,,,,,,,,,,,,,,,,,0.010351735669965334,,,,,,0.043430299555023553,0.03566403043356357,0.0028171843105798495,,0.025523097604798217,,0.00038458840036451297,,,0.047410553640505594,0.009113176612154368,,,0.03566403043356357,,,,,,0.04824260549187055,,,,,,0.013565501946967692,,,,0.004389012798417174,,,,,0.03022749491859512,,0.030793857164141597,,,,,
ctx-lh-7Networks_LH_Vis_2,,,,,,,,,,0.002382702564099768,,,0.015958832159800786,,0.02601222983025223,,0.003402233029580235,,0.001962215607436624,0.02650949987277581,,,,,0.009113176612154368,,,,,,0.0008767767700034759,0.03254830443457785,0.01799187688699828,0.036317008897002394,,,,0.004808264327455413,0.02146962789905176,0.027015016437621747,0.03254830443457785,0.007342134260868069,0.006578786877925557,,,,,,0.00750407981039055,0.02456881636438566,,,,,,,,,0.0021630478203051684,0.0397378672164661,,,0.004003375672749573,,,0.00873094090388658,0.004003375672749573,0.03765378318023933,0.03195414469066528,,,,,0.005263691389762507,,,,,,,,,,,,0.012493058148662611,,,0.01198572129426691,0.013289980936094379,0.015958832159800786,0.009714759243813915,0.0016516943071426722,0.004096767872064052,0.0343882726652833,,0.02601222983025223,0.04578285409621867,0.011259162323593877,0.02805122851671182
ctx-lh-7Networks_LH_Vis_3,,,,,,,,,,9.314899231737027e-05,0.01413182777238617,,8.781543358682652e-05,0.002686147170066201,0.003482718113003193,0.02601222983025223,0.0038224040252298743,,,,,,,,,,,,,0.0015717246397419257,0.03502115929230351,0.007342134260868069,,0.03195414469066528,0.010796920824672429,,,,,0.03022749491859512,,0.030793857164141597,,,,,,,,,,,,,,,,,0.005031289711987181,0.027015016437621747,0.017290154462245695,0.0002763807139759773,0.00018648740222017957,0.01985713424354971,0.0006576832475605685,0.00018126072147912046,,0.0015717246397419257,0.03698021832366101,,,,,0.022753226566124208,,0.003246354366159594,0.006725448022325817,0.036317008897002394,0.02650949987277581,,,,0.02805122851671182,,,0.02752888914291647,,,,0.00873094090388658,,0.004490576942026609,0.0008997558836204034,0.03022749491859512,,,,,,
ctx-lh-7Networks_LH_Vis_4,,,,,,,,,,0.007342134260868069,,0.0030247873034274187,,,0.0014584766051007872,,,,0.04045411469513831,0.04045411469513831,0.012493058148662611,,,,,,,,,,0.003323455904784931,,,,,0.043430299555023553,,,0.04659068153111746,,,,,,,,,,0.00783767898260948,0.02024994781797153,,,,,,,,,,0.021890259742118414,,,,,0.02912175391215323,0.002325940101565674,0.012753835214116382,,,,,,,0.0006075114076594553,,,0.044202796431886404,,,,,,,,,,,,,0.005758014118758647,,,0.005505814397512413,0.02650949987277581,0.011259162323593877,,0.006578786877925557,,0.03502115929230351,0.03254830443457785
ctx-lh-7Networks_LH_Vis_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016948440746878252,,,,,,,,,,,,,,,,,,,0.03254830443457785,,,,,,,,,,,,,0.008184594672555596,,0.043430299555023553,,0.0003262833895502936,,,,,,,0.006875061344932276,,,,,,,,,,,,,,,,0.025523097604798217,,,0.0006238227220621951,,,,0.01413182777238617,,0.009714759243813915,0.02024994781797153
ctx-lh-7Networks_LH_Vis_6,,,,,,,,,,,0.001914774386470187,,,0.0343882726652833,,,,,0.02752888914291647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009474094326083428,,,,0.003911933119277018,,,,,,0.031369368157148886,,,,,,,0.01661270725847873,0.03502115929230351,,,,,,,,,,,,,0.02752888914291647,,,0.004700162700078207,,0.01661270725847873,,,,,
ctx-lh-7Networks_LH_Vis_7,,,,,,,,,,0.013846091430086919,,,0.01628286656727194,0.0004649727656058506,1.8442322709898216e-05,,,,0.0016516943071426722,,,,,,,,,0.04994379205618904,,0.002382702564099768,,,,,0.04824260549187055,,,,,,,0.012493058148662611,,,,,0.04824260549187055,,,,,,,,,,,,0.010135369704778149,0.002440739205815912,,,0.0018230572641289018,0.0010498571715000541,0.004490576942026609,3.4543086578806437e-07,,0.0016516943071426722,,,0.003323455904784931,,,,,,0.009714759243813915,,,,,,,,,0.005758014118758647,,,,,,,0.030793857164141597,0.0010233196205010648,0.007027678471946026,,0.016948440746878252,,,
ctx-lh-7Networks_LH_Vis_8,,,,,,,,,,0.04908697282837386,,,0.002686147170066201,0.003911933119277018,2.6538165123605913e-06,,,,,,,,,,,,,,,0.006725448022325817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006156010954603946,0.006875061344932276,,0.005630632047726039,0.00037423440862889394,0.0042895488105949365,0.005505814397512413,7.079535946240883e-07,,,,,0.029670165509391364,,,0.006875061344932276,,,0.018352065055567315,0.008363188712889985,0.04824260549187055,,,,,,,0.01198572129426691,,,0.010135369704778149,0.01985713424354971,,,0.02231809249875937,,0.006156010954603946,,0.012493058148662611,0.007342134260868069,0.03566403043356357,
ctx-lh-7Networks_LH_Vis_9,,,,,,,,,,0.01985713424354971,0.008184594672555596,0.01173901439092474,0.015327840710089725,0.0005461785149862057,0.00019737155809136317,,0.030793857164141597,,0.03566403043356357,,,,,,,0.02231809249875937,,0.02601222983025223,,0.011259162323593877,,,,,,,,,,0.005146297189532848,,,,,,,,,,,,0.0027509483378578095,,,,,,,0.00750407981039055,0.0014953565066106243,,0.0449869369563153,0.0010498571715000541,0.018718592372814914,0.006578786877925557,0.0013192357895988863,,,0.015958832159800786,,,,,0.003482718113003193,,0.00951038451740682,0.0010770345832456863,0.01173901439092474,,,,,,,,,,,,,,,,,,,,,,
ctx-lh-7Networks_LH_SomMot_1,,,,,,,,,,,,,,0.04659068153111746,,,,0.04118135203996683,0.001533099748369857,,0.02456881636438566,,,,0.04824260549187055,,,0.03698021832366101,,0.0022704266068364273,0.009113176612154368,0.008920218073153852,,,0.021890259742118414,,,,0.043430299555023553,,,3.778595630204068e-05,,,,0.04045411469513831,,,0.0030247873034274187,,0.03315196593023825,0.00029215471031629307,0.043430299555023553,,0.01173901439092474,,0.015640518436663368,,,0.023645804863258586,,0.030793857164141597,0.01909155087817098,,0.02805122851671182,0.0020107410436122843,,0.004490576942026609,0.025041995406731132,,,,,0.008920218073153852,,0.00022726995280321168,0.00750407981039055,,0.03833782875134715,,,,,,0.019471033537382554,,,,0.03195414469066528,0.03315196593023825,,0.025523097604798217,0.015020715201361534,8.807334307535148e-06,0.00037423440862889394,,0.02456881636438566,,0.0031708965610988357,
