CellType,Real_Score,P_Value
astro_sig,0.019843272564381956,0.0
l2_3_it_sig,0.05147548117210272,0.0
l6_ct_sig,0.02302655442359016,0.0
l4_it_sig,0.08379199043377286,0.0
l6_it_sig,0.028940306218271417,0.0
opc_sig,0.014928220469927018,0.0
microglia_sig,0.06773727673446055,0.0
lamp5_sig,0.041214377620321194,0.0
sst_expr,0.08794500125729633,0.0
pvalb_sig,0.08079715007477332,0.0
pvalb_expr,0.08079715007477332,0.0
sst_sig,0.08794500125729633,0.0
oligo_sig,0.003924880103838614,0.119
vip_sig,0.0026801692563895203,0.242
l5_it_sig,0.004382742655210485,0.246
endothelial_sig,0.0018468254948074067,0.357
pericyte_sig,-0.006614691225601999,0.715
gad_sig,-0.01021545221213562,0.991
