CellType,Real_Score,P_Value
l5_it_sig,0.016717691143145297,0.019
gad_sig,0.0021650499979778337,0.231
pericyte_sig,0.03135542025091271,0.266
l2_3_it_sig,0.01008462776481099,0.589
endothelial_sig,-0.01010771548435644,0.696
l6_it_sig,-0.00759698813088493,0.705
astro_sig,-0.004883927998501735,0.757
microglia_sig,0.08907751054411335,0.86
sst_expr,0.07674322347364498,0.864
sst_sig,0.07674322347364498,0.864
l4_it_sig,0.03384493381357428,0.909
vip_sig,-0.025762545391486327,0.947
oligo_sig,-0.011734603233864391,0.954
lamp5_sig,-0.10607461527774384,1.0
opc_sig,-0.019196499146792174,1.0
l6_ct_sig,-0.023894027210165526,1.0
pvalb_sig,0.05082491069216154,1.0
pvalb_expr,0.05082491069216154,1.0
