,ctx-lh-7Networks_LH_Vis_1,ctx-lh-7Networks_LH_Vis_2,ctx-lh-7Networks_LH_Vis_3,ctx-lh-7Networks_LH_Vis_4,ctx-lh-7Networks_LH_Vis_5,ctx-lh-7Networks_LH_Vis_6,ctx-lh-7Networks_LH_Vis_7,ctx-lh-7Networks_LH_Vis_8,ctx-lh-7Networks_LH_Vis_9,ctx-lh-7Networks_LH_SomMot_1,ctx-lh-7Networks_LH_SomMot_2,ctx-lh-7Networks_LH_SomMot_3,ctx-lh-7Networks_LH_SomMot_4,ctx-lh-7Networks_LH_SomMot_5,ctx-lh-7Networks_LH_SomMot_6,ctx-lh-7Networks_LH_DorsAttn_Post_1,ctx-lh-7Networks_LH_DorsAttn_Post_2,ctx-lh-7Networks_LH_DorsAttn_Post_3,ctx-lh-7Networks_LH_DorsAttn_Post_4,ctx-lh-7Networks_LH_DorsAttn_Post_5,ctx-lh-7Networks_LH_DorsAttn_Post_6,ctx-lh-7Networks_LH_DorsAttn_PrCv_1,ctx-lh-7Networks_LH_DorsAttn_FEF_1,ctx-lh-7Networks_LH_SalVentAttn_ParOper_1,ctx-lh-7Networks_LH_SalVentAttn_FrOperIns_1,ctx-lh-7Networks_LH_SalVentAttn_FrOperIns_2,ctx-lh-7Networks_LH_SalVentAttn_PFCl_1,ctx-lh-7Networks_LH_SalVentAttn_Med_1,ctx-lh-7Networks_LH_SalVentAttn_Med_2,ctx-lh-7Networks_LH_SalVentAttn_Med_3,ctx-lh-7Networks_LH_Limbic_OFC_1,ctx-lh-7Networks_LH_Limbic_TempPole_1,ctx-lh-7Networks_LH_Limbic_TempPole_2,ctx-lh-7Networks_LH_Cont_Par_1,ctx-lh-7Networks_LH_Cont_PFCl_1,ctx-lh-7Networks_LH_Cont_pCun_1,ctx-lh-7Networks_LH_Cont_Cing_1,ctx-lh-7Networks_LH_Default_Temp_1,ctx-lh-7Networks_LH_Default_Temp_2,ctx-lh-7Networks_LH_Default_Par_1,ctx-lh-7Networks_LH_Default_Par_2,ctx-lh-7Networks_LH_Default_PFC_1,ctx-lh-7Networks_LH_Default_PFC_2,ctx-lh-7Networks_LH_Default_PFC_3,ctx-lh-7Networks_LH_Default_PFC_4,ctx-lh-7Networks_LH_Default_PFC_5,ctx-lh-7Networks_LH_Default_PFC_6,ctx-lh-7Networks_LH_Default_PFC_7,ctx-lh-7Networks_LH_Default_pCunPCC_1,ctx-lh-7Networks_LH_Default_pCunPCC_2,ctx-rh-7Networks_RH_Vis_1,ctx-rh-7Networks_RH_Vis_2,ctx-rh-7Networks_RH_Vis_3,ctx-rh-7Networks_RH_Vis_4,ctx-rh-7Networks_RH_Vis_5,ctx-rh-7Networks_RH_Vis_6,ctx-rh-7Networks_RH_Vis_7,ctx-rh-7Networks_RH_Vis_8,ctx-rh-7Networks_RH_SomMot_1,ctx-rh-7Networks_RH_SomMot_2,ctx-rh-7Networks_RH_SomMot_3,ctx-rh-7Networks_RH_SomMot_4,ctx-rh-7Networks_RH_SomMot_5,ctx-rh-7Networks_RH_SomMot_6,ctx-rh-7Networks_RH_SomMot_7,ctx-rh-7Networks_RH_SomMot_8,ctx-rh-7Networks_RH_DorsAttn_Post_1,ctx-rh-7Networks_RH_DorsAttn_Post_2,ctx-rh-7Networks_RH_DorsAttn_Post_3,ctx-rh-7Networks_RH_DorsAttn_Post_4,ctx-rh-7Networks_RH_DorsAttn_Post_5,ctx-rh-7Networks_RH_DorsAttn_PrCv_1,ctx-rh-7Networks_RH_DorsAttn_FEF_1,ctx-rh-7Networks_RH_SalVentAttn_TempOccPar_1,ctx-rh-7Networks_RH_SalVentAttn_TempOccPar_2,ctx-rh-7Networks_RH_SalVentAttn_FrOperIns_1,ctx-rh-7Networks_RH_SalVentAttn_Med_1,ctx-rh-7Networks_RH_SalVentAttn_Med_2,ctx-rh-7Networks_RH_Limbic_OFC_1,ctx-rh-7Networks_RH_Limbic_TempPole_1,ctx-rh-7Networks_RH_Cont_Par_1,ctx-rh-7Networks_RH_Cont_Par_2,ctx-rh-7Networks_RH_Cont_PFCl_1,ctx-rh-7Networks_RH_Cont_PFCl_2,ctx-rh-7Networks_RH_Cont_PFCl_3,ctx-rh-7Networks_RH_Cont_PFCl_4,ctx-rh-7Networks_RH_Cont_Cing_1,ctx-rh-7Networks_RH_Cont_PFCmp_1,ctx-rh-7Networks_RH_Cont_pCun_1,ctx-rh-7Networks_RH_Default_Par_1,ctx-rh-7Networks_RH_Default_Temp_1,ctx-rh-7Networks_RH_Default_Temp_2,ctx-rh-7Networks_RH_Default_Temp_3,ctx-rh-7Networks_RH_Default_PFCv_1,ctx-rh-7Networks_RH_Default_PFCv_2,ctx-rh-7Networks_RH_Default_PFCdPFCm_1,ctx-rh-7Networks_RH_Default_PFCdPFCm_2,ctx-rh-7Networks_RH_Default_PFCdPFCm_3,ctx-rh-7Networks_RH_Default_pCunPCC_1,ctx-rh-7Networks_RH_Default_pCunPCC_2
ctx-lh-7Networks_LH_Vis_1,,,,,,,,,,,,,,,,,,0.0022360055313578003,,0.014170844977084686,,,0.0006941904247009087,,,,,,,,,,,0.008945722506140999,,,,,,,,0.03544035329331771,,,,,,,0.045973051039542585,,,,,,,,0.02798788662114234,,,,,,,,,,,,0.032060881782594086,0.003944091558800854,,,0.01970441846386597,,,,,,,,,,,,,,,,,,,,,,,,,,0.007634071424036122,
ctx-lh-7Networks_LH_Vis_2,,,,0.010866628736868595,,,0.006497724199484976,1.7102503286345547e-08,,,,,,,,,,2.9150654392345495e-05,0.047458873535403345,,,,,,,,0.04041617733682619,,,,,,,,,,,,,,,,,,,,,,,,0.02798788662114234,1.0508633167301116e-05,0.03663249407089108,0.03785868022427504,,0.047458873535403345,2.1505559672533697e-08,0.00016567455341026291,,,,,,,,,,,,0.0009732734148590619,,,,,,,,,,0.01833331338699053,0.0059887668864386364,0.023531096172276035,,,0.02116437365608088,,0.005516060670268779,,,0.007944698721762842,,,,,,,,0.00930364125200145,0.006238567712927221,
ctx-lh-7Networks_LH_Vis_3,,,,,,,0.001020734932492218,5.499380809202966e-05,1.9262103400140226e-05,,,,,0.022717820102965202,,,,0.01129219511719873,0.006766538735482451,,,,0.04041617733682619,,0.030997645219451638,,0.04041617733682619,,,,,,,0.027042343392238054,,,5.639338177524567e-06,,,,0.00044424456677814254,,,,,,,,,,,0.0008428882144817161,0.04041617733682619,,,0.010455397388298723,0.001232844016507704,7.376747994399816e-07,,,,,,0.04898492610571757,0.001784256910858506,0.02116437365608088,,0.03315527051998386,,0.024369557131279435,,,0.025233827502239615,,,0.015839880617618023,,,,,0.00011347386749291934,8.151039371990569e-05,,0.029964860006536198,0.014709060997500812,,1.8848894211096169e-06,,,0.0027906135863041727,0.01833331338699053,,,,,,,,,
ctx-lh-7Networks_LH_Vis_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04898492610571757,,,,,,,,,,,,,,,,,,0.029964860006536198,,,,,,0.04041617733682619,0.015265240712795601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047458873535403345,,
ctx-lh-7Networks_LH_Vis_5,,,,,,,0.009674301884991316,,0.009674301884991316,,,,0.007634071424036122,0.006238567712927221,0.008945722506140999,,,,,,0.047458873535403345,,,,,,0.004670442765233262,,,,,,,,,,,,,,,,,,,,,,,,,,0.032060881782594086,,0.019008043544731436,,,,,,,0.030997645219451638,0.004115349345037043,0.008945722506140999,,0.012188025561059138,0.013650105836425681,,,,,,,,0.025233827502239615,,,,,0.04174900343070623,,0.043118904801482456,,,,,,,,,,,,,,,,,,
ctx-lh-7Networks_LH_Vis_6,,,,,,,,,0.024369557131279435,0.011732517376158512,0.02116437365608088,,,,,,,,,,,,,,,,,,,,,,,,,,0.044526658963645646,,0.03663249407089108,,,,,,,,,,,,,,,,,0.00733439035952398,,0.03663249407089108,0.044526658963645646,,,,,,,0.03544035329331771,,,,,,,,,,,,,,,0.045973051039542585,,,,,,0.007634071424036122,,,,,,,,,,,,,
ctx-lh-7Networks_LH_Vis_7,,,,,,,,,0.01833331338699053,,,,0.04898492610571757,,,,,,,,,,,,,,0.029964860006536198,,,,,,,,,,0.00025280347007321816,,,,,,,,,,,,,,0.00025280347007321816,2.591756709916786e-05,3.4512511807071734e-07,,,0.008945722506140999,,0.007944698721762842,,,,0.010866628736868595,,,,,,,,,,,,,,,,,,,0.003181105104693257,0.00038168948105771216,,0.00733439035952398,0.01970441846386597,0.043118904801482456,5.195319925245493e-05,,,0.01970441846386597,,0.045973051039542585,,,,,,,,
ctx-lh-7Networks_LH_Vis_8,,,,,,,,,,,,,,,,0.00107033408154085,,0.03544035329331771,0.004293338314969467,,,,,0.007634071424036122,,0.04174900343070623,0.0037793397466800386,,,,,,,,0.009674301884991316,,8.151039371990569e-05,,,0.03428152137664199,0.0009732734148590619,,,,,,,,,,0.00012653632520572702,3.3037932416443848e-09,2.294955879021169e-06,0.03911965682564376,,0.01129219511719873,0.0005426238112319757,0.01129219511719873,,,,,,,0.04041617733682619,,,,,,,,,,,0.03428152137664199,,,,,9.88180958701189e-06,9.043641183452724e-07,0.015265240712795601,0.00020492477164318914,6.892892607845398e-05,0.029964860006536198,2.2616319412431463e-07,,0.013650105836425681,2.443203140904212e-05,,,,,,,,0.04041617733682619,,
ctx-lh-7Networks_LH_Vis_9,,,,,,,,,,,,,0.014170844977084686,0.003045720353198302,0.000599109503112483,,,,0.02798788662114234,,0.022717820102965202,,,,,,0.023531096172276035,,,0.026124541581990346,,,,,0.026124541581990346,,0.0005426238112319757,,,,0.022717820102965202,,,,,,,,,,0.03911965682564376,0.0007288852214143873,0.009674301884991316,,,2.0446795294639735e-05,,0.0005426238112319757,,,,0.0009732734148590619,,0.0018672551244384428,3.276539164043073e-05,0.00046714216321824467,,,,,0.044526658963645646,,,,,,,,,,3.851276668392037e-06,8.208762432584491e-06,0.023531096172276035,0.00038168948105771216,0.0005426238112319757,,3.70101710380357e-07,,,0.003181105104693257,,,,,,,,,,
ctx-lh-7Networks_LH_SomMot_1,,,,,,,,,,,0.0022360055313578003,0.04898492610571757,,,0.004115349345037043,,,,,,,,,,,,,,,,0.04174900343070623,,0.023531096172276035,,,0.017046575659649843,,0.0011221579728074747,0.00204400246662486,,,0.008945722506140999,0.0009732734148590619,0.0059887668864386364,,0.0033219614533188226,,,,0.03663249407089108,,,,,,0.001232844016507704,,0.013146366385736845,2.2616319412431463e-07,0.00018431848618678763,0.004870041157555965,,,,,0.005516060670268779,,,,,,,,,,,,,,,0.03544035329331771,,,,0.008266614531992005,,,,,,,1.6088254241609918e-05,0.0009732734148590619,0.03315527051998386,0.005516060670268779,0.007634071424036122,0.011732517376158512,,0.013146366385736845,0.023531096172276035
ctx-lh-7Networks_LH_SomMot_2,,,,,,,,,,,,0.000599109503112483,,0.027042343392238054,0.008266614531992005,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04898492610571757,,0.00023993505644751814,,,,,0.0008428882144817161,0.01129219511719873,,,,,,0.014170844977084686,,0.012188025561059138,0.0001747625173300789,0.00011983715033820948,0.0007288852214143873,,,,,0.0033219614533188226,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006766538735482451,,0.009674301884991316,,,0.000491138710650545,0.014709060997500812
ctx-lh-7Networks_LH_SomMot_3,,,,,,,,,,,,,,,0.03663249407089108,,,,,,,,,,,,,,,,0.0037793397466800386,0.02896183455595913,,,,,,,,,,0.000599109503112483,0.001784256910858506,0.0007651875157546087,,0.0022360055313578003,,,0.019008043544731436,,,,,,,,,,0.0008428882144817161,3.899668213239526e-05,6.158873964062999e-05,,,,,0.02116437365608088,,,,,,,,,,,,,0.017046575659649843,,,,0.013146366385736845,,,,,,,,,0.0059887668864386364,0.03544035329331771,3.1756207698448997e-06,0.0008031650818417895,0.000491138710650545,0.002555191743849764,,0.0036208749747415636,0.004670442765233262
