CellType,Real_Score,P_Value
astro_sig,0.010880847463523352,0.0
l2_3_it_sig,0.023085679334752772,0.0
l6_ct_sig,0.01047830509668963,0.0
l4_it_sig,0.03999256263498047,0.0
opc_sig,0.008948253406720312,0.0
oligo_sig,0.0071310422553734236,0.0
microglia_sig,0.030463996581769494,0.0
lamp5_sig,0.023178327517323218,0.0
pvalb_expr,0.04875921837427596,0.0
pvalb_sig,0.04875921837427596,0.0
sst_expr,0.06253610692606092,0.0
sst_sig,0.06253610692606092,0.0
pericyte_sig,0.00703815012799711,0.001
l6_it_sig,0.011377639104731632,0.002
l5_it_sig,0.006894971493026406,0.037
endothelial_sig,0.0030826499446550966,0.206
gad_sig,-0.0019030275524490627,0.725
vip_sig,-0.006892211424824258,0.914
