CellType,Real_Score,P_Value
endothelial_sig,0.014883964097688966,0.032
gad_sig,0.004665813835290994,0.066
vip_sig,-0.0018221732022204032,0.465
l5_it_sig,-0.005193867746649143,0.767
oligo_sig,-0.005157849564452498,0.869
pericyte_sig,0.01493714129110907,0.872
l6_ct_sig,-0.00827954237772328,0.965
astro_sig,-0.007740463643039965,0.997
l6_it_sig,-0.027347999964821994,1.0
l4_it_sig,-0.00848409426715579,1.0
microglia_sig,0.06546710708999952,1.0
lamp5_sig,-0.03997103811527144,1.0
opc_sig,0.0011549064512652403,1.0
pvalb_expr,0.09054437530150643,1.0
pvalb_sig,0.09054437530150643,1.0
l2_3_it_sig,-0.026858615247146115,1.0
sst_expr,0.04643244394850302,1.0
sst_sig,0.04643244394850302,1.0
