,ctx-lh-7Networks_LH_Vis_1,ctx-lh-7Networks_LH_Vis_2,ctx-lh-7Networks_LH_Vis_3,ctx-lh-7Networks_LH_Vis_4,ctx-lh-7Networks_LH_Vis_5,ctx-lh-7Networks_LH_Vis_6,ctx-lh-7Networks_LH_Vis_7,ctx-lh-7Networks_LH_Vis_8,ctx-lh-7Networks_LH_Vis_9,ctx-lh-7Networks_LH_SomMot_1,ctx-lh-7Networks_LH_SomMot_2,ctx-lh-7Networks_LH_SomMot_3,ctx-lh-7Networks_LH_SomMot_4,ctx-lh-7Networks_LH_SomMot_5,ctx-lh-7Networks_LH_SomMot_6,ctx-lh-7Networks_LH_DorsAttn_Post_1,ctx-lh-7Networks_LH_DorsAttn_Post_2,ctx-lh-7Networks_LH_DorsAttn_Post_3,ctx-lh-7Networks_LH_DorsAttn_Post_4,ctx-lh-7Networks_LH_DorsAttn_Post_5,ctx-lh-7Networks_LH_DorsAttn_Post_6,ctx-lh-7Networks_LH_DorsAttn_PrCv_1,ctx-lh-7Networks_LH_DorsAttn_FEF_1,ctx-lh-7Networks_LH_SalVentAttn_ParOper_1,ctx-lh-7Networks_LH_SalVentAttn_FrOperIns_1,ctx-lh-7Networks_LH_SalVentAttn_FrOperIns_2,ctx-lh-7Networks_LH_SalVentAttn_PFCl_1,ctx-lh-7Networks_LH_SalVentAttn_Med_1,ctx-lh-7Networks_LH_SalVentAttn_Med_2,ctx-lh-7Networks_LH_SalVentAttn_Med_3,ctx-lh-7Networks_LH_Limbic_OFC_1,ctx-lh-7Networks_LH_Limbic_TempPole_1,ctx-lh-7Networks_LH_Limbic_TempPole_2,ctx-lh-7Networks_LH_Cont_Par_1,ctx-lh-7Networks_LH_Cont_PFCl_1,ctx-lh-7Networks_LH_Cont_pCun_1,ctx-lh-7Networks_LH_Cont_Cing_1,ctx-lh-7Networks_LH_Default_Temp_1,ctx-lh-7Networks_LH_Default_Temp_2,ctx-lh-7Networks_LH_Default_Par_1,ctx-lh-7Networks_LH_Default_Par_2,ctx-lh-7Networks_LH_Default_PFC_1,ctx-lh-7Networks_LH_Default_PFC_2,ctx-lh-7Networks_LH_Default_PFC_3,ctx-lh-7Networks_LH_Default_PFC_4,ctx-lh-7Networks_LH_Default_PFC_5,ctx-lh-7Networks_LH_Default_PFC_6,ctx-lh-7Networks_LH_Default_PFC_7,ctx-lh-7Networks_LH_Default_pCunPCC_1,ctx-lh-7Networks_LH_Default_pCunPCC_2,ctx-rh-7Networks_RH_Vis_1,ctx-rh-7Networks_RH_Vis_2,ctx-rh-7Networks_RH_Vis_3,ctx-rh-7Networks_RH_Vis_4,ctx-rh-7Networks_RH_Vis_5,ctx-rh-7Networks_RH_Vis_6,ctx-rh-7Networks_RH_Vis_7,ctx-rh-7Networks_RH_Vis_8,ctx-rh-7Networks_RH_SomMot_1,ctx-rh-7Networks_RH_SomMot_2,ctx-rh-7Networks_RH_SomMot_3,ctx-rh-7Networks_RH_SomMot_4,ctx-rh-7Networks_RH_SomMot_5,ctx-rh-7Networks_RH_SomMot_6,ctx-rh-7Networks_RH_SomMot_7,ctx-rh-7Networks_RH_SomMot_8,ctx-rh-7Networks_RH_DorsAttn_Post_1,ctx-rh-7Networks_RH_DorsAttn_Post_2,ctx-rh-7Networks_RH_DorsAttn_Post_3,ctx-rh-7Networks_RH_DorsAttn_Post_4,ctx-rh-7Networks_RH_DorsAttn_Post_5,ctx-rh-7Networks_RH_DorsAttn_PrCv_1,ctx-rh-7Networks_RH_DorsAttn_FEF_1,ctx-rh-7Networks_RH_SalVentAttn_TempOccPar_1,ctx-rh-7Networks_RH_SalVentAttn_TempOccPar_2,ctx-rh-7Networks_RH_SalVentAttn_FrOperIns_1,ctx-rh-7Networks_RH_SalVentAttn_Med_1,ctx-rh-7Networks_RH_SalVentAttn_Med_2,ctx-rh-7Networks_RH_Limbic_OFC_1,ctx-rh-7Networks_RH_Limbic_TempPole_1,ctx-rh-7Networks_RH_Cont_Par_1,ctx-rh-7Networks_RH_Cont_Par_2,ctx-rh-7Networks_RH_Cont_PFCl_1,ctx-rh-7Networks_RH_Cont_PFCl_2,ctx-rh-7Networks_RH_Cont_PFCl_3,ctx-rh-7Networks_RH_Cont_PFCl_4,ctx-rh-7Networks_RH_Cont_Cing_1,ctx-rh-7Networks_RH_Cont_PFCmp_1,ctx-rh-7Networks_RH_Cont_pCun_1,ctx-rh-7Networks_RH_Default_Par_1,ctx-rh-7Networks_RH_Default_Temp_1,ctx-rh-7Networks_RH_Default_Temp_2,ctx-rh-7Networks_RH_Default_Temp_3,ctx-rh-7Networks_RH_Default_PFCv_1,ctx-rh-7Networks_RH_Default_PFCv_2,ctx-rh-7Networks_RH_Default_PFCdPFCm_1,ctx-rh-7Networks_RH_Default_PFCdPFCm_2,ctx-rh-7Networks_RH_Default_PFCdPFCm_3,ctx-rh-7Networks_RH_Default_pCunPCC_1,ctx-rh-7Networks_RH_Default_pCunPCC_2
ctx-lh-7Networks_LH_Vis_1,,,,,,,,,,0.027938117909220326,0.0003446295792526387,9.291996576476436e-09,,,,,0.010967656132630543,0.027938117909220326,,,,,,0.012311727150524601,,7.091520229984902e-06,,,,0.006398988617069018,,,,,,1.8049908515661255e-06,0.013799822194458043,0.0027837856751716378,,,,,0.002435284532901207,0.03788037477424876,,0.017259768425926504,,,0.04606493835578051,,,0.041803267540099984,,,,,,,,0.0005877312509313868,5.8596007795353275e-06,,,,,,,,,,,,,,0.03427528530745431,0.0038633110391288004,,0.032585550316119025,,,0.0001983029631030157,0.009195679482717368,,,,,0.00260420670275769,,0.0013090653351406822,,,,,,0.025167702814538315,,0.027938117909220326,,0.032585550316119025,
ctx-lh-7Networks_LH_Vis_2,,,,,,,0.0008506687715298403,1.4882238425857954e-11,0.00013208588463335867,,0.0027837856751716378,0.03980080052182619,,,0.0014046863539458733,0.02652165602286915,,,,,,,,,,,,,,,,,,,,,0.007683942038015424,,,,,,,,,,,,0.029419363347755398,,,7.357753878956207e-05,0.03427528530745431,0.04832954771786353,,0.03788037477424876,9.019372492942819e-10,0.0001983029631030157,,0.014601823397049307,,,,,,0.02652165602286915,,,,,0.025167702814538315,,0.02652165602286915,,,,,,,,1.970063683939823e-05,0.0002518843347724657,,,0.032585550316119025,,0.016330056418245534,,,,,,,,0.021458898140434574,,,,0.00260420670275769,
ctx-lh-7Networks_LH_Vis_3,,,,0.02652165602286915,0.017259768425926504,0.013799822194458043,0.0019869147585717278,1.970063683939823e-05,8.260719037583947e-16,,0.018235615524861894,,,,,,,,,,,,,,,0.03980080052182619,0.0046813931058868104,0.0010570845776177794,,,,0.0019869147585717278,,0.006398988617069018,,,0.0012194867488833205,0.006398988617069018,0.043890418992112386,,,,,,,,,,0.00010302894355756771,,0.010345867760334403,0.0006333280352784667,,,,1.9124822816128366e-09,0.0019869147585717278,8.704134553776384e-11,,,,,,,3.086329657557272e-05,,,,,,,,,,,,,0.03788037477424876,,0.04832954771786353,1.1618242562762597e-07,0.0011356031287997207,0.029419363347755398,0.021458898140434574,7.980922674162272e-07,,0.00013208588463335867,5.8596007795353275e-06,0.025167702814538315,0.018235615524861894,,0.011622453083213592,,,,,,0.0036209703632298727,0.0004021835435755352,
ctx-lh-7Networks_LH_Vis_4,,,,,,,,,,,,,,0.00014337929703162346,3.77217454820906e-08,,,,0.00037236773574184816,0.018235615524861894,9.476712861652678e-05,,0.041803267540099984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004120306605353981,,,0.0013090653351406822,,,,,,0.021458898140434574,4.7884646144979757e-05,0.006015788397831703,5.8596007795353275e-06,,,,,3.372326856597404e-05,,0.009195679482717368,,,,,,,,,,,0.006804028315196539,,,,,,,0.043890418992112386,,,,0.019259465141483374,,,,0.04606493835578051,
ctx-lh-7Networks_LH_Vis_5,,,,,,,3.683398513875722e-05,,0.018235615524861894,,,,0.00010302894355756771,1.8049908515661255e-06,5.098310163630547e-09,,,,0.00011196772284341239,,2.1567978974800855e-05,,0.0006822001143456963,,,,,,,0.00260420670275769,,,,,,,,,,0.021458898140434574,,,,,,,,,,,,,0.0014046863539458733,,0.00260420670275769,,,,,,,4.834174004846001e-06,0.007231976201251594,1.203963855780824e-06,0.0004342195356774169,5.943369163207854e-08,0.0009836180401319615,0.009195679482717368,,,0.0012194867488833205,,0.00018296585238909482,0.03788037477424876,,,0.009195679482717368,0.0009149065958587059,,,0.032585550316119025,,,,,,,,,,,,0.017259768425926504,,,,,,,
ctx-lh-7Networks_LH_Vis_6,,,,,,,,,3.683398513875722e-05,,,,,,,,,0.013799822194458043,,,,0.013036995034393265,0.001506715587293274,,,0.0008506687715298403,0.0033925427089021884,0.02387403333104403,,,,0.0056533990824001144,,0.0003446295792526387,0.015444663206682082,,0.0046813931058868104,,,,,,,,,,,0.03980080052182619,0.03427528530745431,,,,,,0.03788037477424876,0.009755666943101864,0.004392731381027214,,,,,,,,,,0.0033925427089021884,,0.0031773176908368884,0.0009836180401319615,,0.00014337929703162346,8.713411759183809e-05,,,0.00011196772284341239,,0.036039389020309585,,0.032585550316119025,8.850059637447733e-07,0.0011356031287997207,,9.414167955460581e-06,8.713411759183809e-05,0.018235615524861894,0.00014337929703162346,0.0007906378735140117,0.04606493835578051,,,,,,0.03788037477424876,,,0.0029746154453316725,0.029419363347755398,
ctx-lh-7Networks_LH_Vis_7,,,,,,,,,0.017259768425926504,0.041803267540099984,,,,,,0.043890418992112386,,,,,,,,,,,,,,,,0.041803267540099984,,0.0005877312509313868,,0.00016874978346580386,,0.0004686269750981359,0.027938117909220326,,,,0.009195679482717368,0.0036209703632298727,,0.011622453083213592,,,0.029419363347755398,,,0.0005452076494811568,1.6772127353958006e-08,,0.007231976201251594,,,0.014601823397049307,,,,,,,0.008664577275354593,,,,,,,,,,,,,,,,3.372326856597404e-05,0.019259465141483374,,,0.00260420670275769,,0.00260420670275769,0.0027837856751716378,0.0038633110391288004,,,0.004120306605353981,0.0014046863539458733,,,0.025167702814538315,,,0.02387403333104403,
ctx-lh-7Networks_LH_Vis_8,,,,,,,,,,,,0.013036995034393265,0.03788037477424876,,0.02652165602286915,0.014601823397049307,,,,0.008161077544092399,0.0056533990824001144,,0.014601823397049307,2.360316427695571e-05,,0.0033925427089021884,0.0011356031287997207,0.0012194867488833205,0.006015788397831703,0.025167702814538315,,,,2.8234924996811197e-05,0.013036995034393265,4.7884646144979757e-05,1.1349260263394198e-05,,,0.0009149065958587059,2.360316427695571e-05,,,,0.03980080052182619,,,0.04832954771786353,,0.014601823397049307,,6.482774487370815e-07,0.0005877312509313868,,,,0.012311727150524601,,,,0.010967656132630543,,0.0056533990824001144,,,,0.010967656132630543,,,,0.0007345613402025466,,0.0014046863539458733,0.00010302894355756771,0.013799822194458043,0.007683942038015424,0.021458898140434574,0.006015788397831703,,,1.297384248947982e-07,8.850059637447733e-07,0.016330056418245534,0.020333235988497813,0.00018296585238909482,,6.447450051119929e-06,0.0009836180401319615,1.970063683939823e-05,1.3660892241053954e-05,,,,,,,,,,0.0022764519265964897
ctx-lh-7Networks_LH_Vis_9,,,,,,,,,,0.0013090653351406822,0.016330056418245534,,,0.010345867760334403,0.04832954771786353,0.018235615524861894,,,,,,0.02263847302569402,,0.020333235988497813,,0.0038633110391288004,7.357753878956207e-05,0.0005055663104587486,,,,0.032585550316119025,,1.333005222885313e-06,0.0046813931058868104,0.036039389020309585,1.6159181213866534e-07,,,,0.0006822001143456963,,,,0.0005877312509313868,,,,0.0031773176908368884,,0.04832954771786353,3.611926858178674e-06,0.0005055663104587486,,,3.389988225872697e-11,0.03980080052182619,4.7884646144979757e-05,,0.020333235988497813,,,,,3.372326856597404e-05,0.02387403333104403,0.03427528530745431,,0.02263847302569402,,,0.021458898140434574,0.04832954771786353,0.027938117909220326,,0.0016155378985268358,,,0.021458898140434574,,6.998866566584515e-10,4.257480287906153e-07,0.001506715587293274,2.360316427695571e-05,2.6892910274830192e-06,0.016330056418245534,7.44290636796124e-08,1.4978974063370845e-05,0.004120306605353981,8.008492251461617e-05,,,,,,,,0.014601823397049307,0.018235615524861894,
ctx-lh-7Networks_LH_SomMot_1,,,,,,,,,,,4.44672914831436e-11,4.19488001226983e-10,0.0004686269750981359,3.982007087337076e-06,1.6874605757487117e-10,0.001506715587293274,0.0029746154453316725,,0.006804028315196539,0.04832954771786353,0.0010570845776177794,0.02387403333104403,,0.029419363347755398,,,,0.014601823397049307,7.357753878956207e-05,4.021605609443859e-05,0.0038633110391288004,0.036039389020309585,0.015444663206682082,,,0.036039389020309585,,2.1183717156492803e-08,6.661202022297117e-11,1.0400248807884624e-07,8.569121737831367e-06,2.1931399682140164e-10,4.257480287906153e-07,1.32587054441457e-08,,6.661202022297117e-11,7.091520229984902e-06,0.012311727150524601,1.32587054441457e-08,3.611926858178674e-06,0.0008506687715298403,0.030967716540955193,0.0036209703632298727,,0.030967716540955193,0.016330056418245534,,,1.1605244578358085e-09,2.1647796632501392e-09,1.8852949170017175e-08,0.025167702814538315,1.6417861657928065e-05,0.03427528530745431,0.0001983029631030157,3.442204345591069e-07,0.015444663206682082,0.029419363347755398,,,,,,5.323281858127707e-06,,,,0.0046813931058868104,0.03788037477424876,,1.970063683939823e-05,,,,0.011622453083213592,,,,,0.005310831294947657,0.006804028315196539,7.946681980459344e-10,5.422614188400976e-10,8.008492251461617e-05,3.372326856597404e-05,8.247241067125864e-09,7.091520229984902e-06,,6.65230053905049e-08,0.0005055663104587486
