Disease,Resolution,Direction,CellType,Real_Score,P_Value,FDR_Adjusted_P
adhd,100,Negative,sst_expr,0.0373522917319709,0.012,0.0392727272727272
adhd,100,Negative,sst_sig,0.0373522917319709,0.012,0.0392727272727272
adhd,100,Negative,l5_it_sig,0.0192831720825704,0.024,0.0738015530629853
adhd,100,Negative,pericyte_sig,0.0220077732272034,0.053,0.1496767036450079
adhd,100,Negative,vip_sig,0.0041639856774283,0.222,0.4948142589118199
adhd,100,Negative,lamp5_sig,0.0104752815969095,0.305,0.6183276450511945
adhd,100,Negative,gad_sig,-0.0033558987505408,0.667,1.0
adhd,100,Negative,astro_sig,-0.0050023419605424,0.729,1.0
adhd,100,Negative,endothelial_sig,0.0026255568674702,0.75,1.0
adhd,100,Negative,l2_3_it_sig,-0.0121342628004656,0.784,1.0
adhd,100,Negative,microglia_sig,0.0046885188745234,0.82,1.0
adhd,100,Negative,l6_ct_sig,-0.0112308549081039,0.822,1.0
adhd,100,Negative,opc_sig,-0.0059104676072807,0.854,1.0
adhd,100,Negative,l4_it_sig,-0.0206587584520978,0.858,1.0
adhd,100,Negative,oligo_sig,-0.0138041251818942,0.927,1.0
adhd,100,Negative,pvalb_expr,-0.0363029640987755,0.994,1.0
adhd,100,Negative,pvalb_sig,-0.0363029640987755,0.994,1.0
adhd,100,Negative,l6_it_sig,-0.0339378109340652,0.995,1.0
adhd,100,Positive,l6_ct_sig,0.0075616420081909,0.009,0.0302889518413597
adhd,100,Positive,l6_it_sig,0.0126991263904824,0.02,0.0625263157894737
adhd,100,Positive,oligo_sig,0.0020607377958946,0.152,0.3647999999999999
adhd,100,Positive,vip_sig,0.0007937448323389,0.287,0.5905704387990761
adhd,100,Positive,lamp5_sig,0.0002776723245587,0.337,0.6676309060589217
adhd,100,Positive,gad_sig,0.0006854900636619,0.499,0.889218
adhd,100,Positive,pvalb_expr,0.0775636753122449,0.542,0.9418274012676744
adhd,100,Positive,pvalb_sig,0.0775636753122449,0.542,0.9418274012676744
adhd,100,Positive,l2_3_it_sig,0.001134272296283,0.713,1.0
adhd,100,Positive,microglia_sig,0.021669536904163,0.722,1.0
adhd,100,Positive,endothelial_sig,-0.0090235527040538,0.773,1.0
adhd,100,Positive,pericyte_sig,-0.0065253569269238,0.831,1.0
adhd,100,Positive,l5_it_sig,-0.0097016806442221,0.907,1.0
adhd,100,Positive,sst_expr,0.002695760228898,0.959,1.0
adhd,100,Positive,sst_sig,0.002695760228898,0.959,1.0
adhd,100,Positive,astro_sig,0.0017557631326763,0.976,1.0
adhd,100,Positive,l4_it_sig,0.0070456669842344,0.982,1.0
adhd,100,Positive,opc_sig,-0.0008707518216212,0.999,1.0
adhd,300,Negative,gad_sig,0.0069284404822442,0.023,0.0709100346020761
adhd,300,Negative,l5_it_sig,0.0037789702084935,0.077,0.2066475903614457
adhd,300,Negative,pericyte_sig,0.0068777341149604,0.088,0.2304423218221895
adhd,300,Negative,oligo_sig,0.0071201674727246,0.111,0.28096875
adhd,300,Negative,lamp5_sig,0.0130713673676192,0.147,0.3547109004739336
adhd,300,Negative,endothelial_sig,0.0090123328761797,0.231,0.5088281829419036
adhd,300,Negative,opc_sig,0.001242236989582,0.237,0.5185193370165746
adhd,300,Negative,astro_sig,-0.0003812849805987,0.426,0.7911745700885877
adhd,300,Negative,sst_expr,-0.000113324666963,0.49,0.8762468640240844
adhd,300,Negative,sst_sig,-0.000113324666963,0.49,0.8762468640240844
adhd,300,Negative,vip_sig,0.0014516760640403,0.516,0.9104079207920792
adhd,300,Negative,microglia_sig,0.0044968255299043,0.702,1.0
adhd,300,Negative,l6_ct_sig,-0.0024072186999021,0.835,1.0
adhd,300,Negative,l4_it_sig,-0.0157532360465692,0.979,1.0
adhd,300,Negative,pvalb_expr,0.0038104563732015,0.992,1.0
adhd,300,Negative,pvalb_sig,0.0038104563732015,0.992,1.0
adhd,300,Negative,l2_3_it_sig,-0.0208102619252353,1.0,1.0
adhd,300,Negative,l6_it_sig,-0.022930929874109,1.0,1.0
adhd,300,Positive,l6_it_sig,0.0167971526419095,0.019,0.0597669902912621
adhd,300,Positive,lamp5_sig,0.0160787046247792,0.164,0.3888862275449102
adhd,300,Positive,vip_sig,0.0062021195403767,0.183,0.4251707953063885
adhd,300,Positive,l5_it_sig,0.00144568933845,0.192,0.4426183699870634
adhd,300,Positive,l2_3_it_sig,0.0022270800598296,0.229,0.5059863608183509
adhd,300,Positive,pericyte_sig,0.0004325517672481,0.37,0.716284627919609
adhd,300,Positive,gad_sig,-0.0050824010326462,0.814,1.0
adhd,300,Positive,microglia_sig,0.0039227861620682,0.866,1.0
adhd,300,Positive,l6_ct_sig,-0.008051002607196,0.926,1.0
adhd,300,Positive,astro_sig,0.0013625950730481,0.927,1.0
adhd,300,Positive,opc_sig,-6.641981249590935e-05,0.944,1.0
adhd,300,Positive,pvalb_sig,0.0137496317645282,0.971,1.0
adhd,300,Positive,pvalb_expr,0.0137496317645282,0.971,1.0
adhd,300,Positive,endothelial_sig,-0.0096809242029466,0.986,1.0
adhd,300,Positive,oligo_sig,-0.012948122462013,0.99,1.0
adhd,300,Positive,l4_it_sig,-0.0123987918027704,0.997,1.0
adhd,300,Positive,sst_expr,-0.016889060803198,1.0,1.0
adhd,300,Positive,sst_sig,-0.016889060803198,1.0,1.0
adhd,400,Negative,astro_sig,0.0035588877540723,0.042,0.1210088924818108
adhd,400,Negative,endothelial_sig,0.010207856257721,0.093,0.2414071376547705
adhd,400,Negative,l5_it_sig,0.0024771311103742,0.103,0.2629598853868194
adhd,400,Negative,opc_sig,0.000914358690297,0.195,0.4475080489375402
adhd,400,Negative,pericyte_sig,0.0062504228219675,0.393,0.7494125200642054
adhd,400,Negative,sst_expr,-0.0008084150272163,0.47,0.8472837632776934
adhd,400,Negative,sst_sig,-0.0008084150272163,0.47,0.8472837632776934
adhd,400,Negative,l6_it_sig,-0.0034748296828492,0.669,1.0
adhd,400,Negative,gad_sig,-0.0055800953670846,0.749,1.0
adhd,400,Negative,oligo_sig,-0.00309832757684,0.804,1.0
adhd,400,Negative,vip_sig,-0.004021732716535,0.813,1.0
adhd,400,Negative,l4_it_sig,-0.0094928453702297,0.879,1.0
adhd,400,Negative,lamp5_sig,-0.005958892469413,0.904,1.0
adhd,400,Negative,microglia_sig,-0.002191138736998,0.919,1.0
adhd,400,Negative,l6_ct_sig,-0.0094069099577931,0.989,1.0
adhd,400,Negative,pvalb_expr,-0.0104374874537082,0.99,1.0
adhd,400,Negative,pvalb_sig,-0.0104374874537082,0.99,1.0
adhd,400,Negative,l2_3_it_sig,-0.0179443928226757,0.999,1.0
adhd,400,Positive,l6_it_sig,0.0141462660210972,0.0,0.0
adhd,400,Positive,l2_3_it_sig,0.0118067443743557,0.001,0.0037995735607675
adhd,400,Positive,vip_sig,0.0026943233929342,0.171,0.4012139565503621
adhd,400,Positive,oligo_sig,-0.0007673501376821,0.41,0.7694786729857819
adhd,400,Positive,l6_ct_sig,-0.001807722186172,0.562,0.9694908034849952
adhd,400,Positive,endothelial_sig,-0.0020483906916682,0.598,1.0
adhd,400,Positive,lamp5_sig,-0.000728563056946,0.62,1.0
adhd,400,Positive,l5_it_sig,-0.0026842272116041,0.695,1.0
adhd,400,Positive,pericyte_sig,-0.0002737718590691,0.784,1.0
adhd,400,Positive,astro_sig,0.0005131490058413,0.872,1.0
adhd,400,Positive,gad_sig,-0.0032295106749073,0.886,1.0
adhd,400,Positive,microglia_sig,0.0027734895643642,0.946,1.0
adhd,400,Positive,pvalb_expr,0.0038687480541434,0.984,1.0
adhd,400,Positive,pvalb_sig,0.0038687480541434,0.984,1.0
adhd,400,Positive,opc_sig,-0.0024977606430062,0.999,1.0
adhd,400,Positive,l4_it_sig,-0.0134292222071513,1.0,1.0
adhd,400,Positive,sst_expr,-0.0250310715583843,1.0,1.0
adhd,400,Positive,sst_sig,-0.0250310715583843,1.0,1.0
adhd,500,Negative,sst_expr,0.0125732962142278,0.002,0.0073788819875776
adhd,500,Negative,sst_sig,0.0125700437466205,0.002,0.0073788819875776
adhd,500,Negative,endothelial_sig,0.0104219495141831,0.02,0.0625263157894737
adhd,500,Negative,opc_sig,0.0022423686024238,0.056,0.1572765957446808
adhd,500,Negative,l5_it_sig,0.0035185317972118,0.066,0.1827692307692307
adhd,500,Negative,microglia_sig,0.0104685034914684,0.161,0.382536
adhd,500,Negative,oligo_sig,0.0022446127065649,0.178,0.414635294117647
adhd,500,Negative,astro_sig,0.0006593430350582,0.243,0.5277586837294332
adhd,500,Negative,pericyte_sig,0.0032833269089432,0.263,0.5556206283343214
adhd,500,Negative,gad_sig,-0.0004608605436174,0.38,0.7320648648648649
adhd,500,Negative,l6_ct_sig,-0.0001113028727168,0.617,1.0
adhd,500,Negative,vip_sig,-0.0063559066372178,0.98,1.0
adhd,500,Negative,pvalb_sig,0.0096128429362809,0.997,1.0
adhd,500,Negative,pvalb_expr,0.0096128429362809,0.997,1.0
adhd,500,Negative,l6_it_sig,-0.0179302460015262,1.0,1.0
