Cluster_ID,Anatomical_Region,Cell_Type,Mean_Expression,P_Value,Significant (p<0.05)
2.0,Insular Cortex,Endothelial,0.2075969368376616,0.0,True
3.0,Superior Frontal Gyrus,Endothelial,0.0462642482200455,0.0,True
4.0,Middle Frontal Gyrus,Endothelial,0.047144443117224,0.0,True
5.0,"Inferior Frontal Gyrus, pars triangularis",Endothelial,0.0571112093026648,0.0,True
6.0,"Inferior Frontal Gyrus, pars opercularis",Endothelial,0.1119241853814313,0.0,True
7.0,Precentral Gyrus,Endothelial,0.1017702251860617,0.0,True
9.0,"Superior Temporal Gyrus, anterior division",Endothelial,0.0478650333342705,0.0,True
17.0,Postcentral Gyrus,Endothelial,0.0209053497925922,0.0,True
24.0,Intracalcarine Cortex,Endothelial,0.2596305794741764,0.0,True
26.0,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),Endothelial,0.1198199751917389,0.0,True
28.0,Paracingulate Gyrus,Endothelial,0.0566197957556775,0.0,True
29.0,"Cingulate Gyrus, anterior division",Endothelial,0.1302287397014138,0.0,True
30.0,"Cingulate Gyrus, posterior division",Endothelial,0.1394221603069971,0.0,True
32.0,Cuneal Cortex,Endothelial,0.0491258532016439,0.0,True
36.0,Lingual Gyrus,Endothelial,0.0870583272183278,0.0,True
40.0,Occipital Fusiform Gyrus,Endothelial,0.0301731226503597,0.0,True
41.0,Frontal Opercular Cortex,Endothelial,0.2028434854980169,0.0,True
42.0,Central Opercular Cortex,Endothelial,0.0916450866667617,0.0,True
43.0,Parietal Opercular Cortex,Endothelial,0.0432061843992095,0.0,True
44.0,Planum Polare,Endothelial,0.1265700130598177,0.0,True
45.0,Heschl's Gyrus (includes H1 and H2),Endothelial,0.1414769350801025,0.0,True
46.0,Planum Temporale,Endothelial,0.1131155185563487,0.0,True
47.0,Supracalcarine Cortex,Endothelial,0.1459322166963175,0.0,True
48.0,Occipital Pole,Endothelial,0.0622889221560631,0.0,True
3.0,Superior Frontal Gyrus,Gad,0.003844349085778,0.0,True
10.0,"Superior Temporal Gyrus, posterior division",Gad,0.0249511791967348,0.0,True
13.0,"Middle Temporal Gyrus, temporooccipital part",Gad,0.003444237499831,0.0,True
17.0,Postcentral Gyrus,Gad,0.0078527731695832,0.0,True
18.0,Superior Parietal Lobule,Gad,0.0267090147729295,0.0,True
19.0,"Supramarginal Gyrus, anterior division",Gad,0.0333855249687764,0.0,True
20.0,"Supramarginal Gyrus, posterior division",Gad,0.0279675461248709,0.0,True
21.0,Angular Gyrus,Gad,0.0050839514853253,0.0,True
22.0,"Lateral Occipital Cortex, superior division",Gad,0.0323333366678581,0.0,True
23.0,"Lateral Occipital Cortex, inferior division",Gad,0.0187796426360142,0.0,True
26.0,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),Gad,0.0301848519840387,0.0,True
28.0,Paracingulate Gyrus,Gad,0.0618588178319864,0.0,True
29.0,"Cingulate Gyrus, anterior division",Gad,0.107806704690539,0.0,True
40.0,Occipital Fusiform Gyrus,Gad,0.0237546114731788,0.0,True
43.0,Parietal Opercular Cortex,Gad,0.0115720627099584,0.0,True
44.0,Planum Polare,Gad,0.0700627985677067,0.0,True
45.0,Heschl's Gyrus (includes H1 and H2),Gad,0.1137622613348045,0.0,True
46.0,Planum Temporale,Gad,0.1155339373065429,0.0,True
48.0,Occipital Pole,Gad,0.0277228718331574,0.0,True
2.0,Insular Cortex,L2,0.0260374298599917,0.0,True
10.0,"Superior Temporal Gyrus, posterior division",L2,0.0228528321190585,0.0,True
13.0,"Middle Temporal Gyrus, temporooccipital part",L2,0.0106804728018818,0.0,True
16.0,"Inferior Temporal Gyrus, temporooccipital part",L2,0.0249482442720122,0.0,True
18.0,Superior Parietal Lobule,L2,0.0341749797055958,0.0,True
19.0,"Supramarginal Gyrus, anterior division",L2,0.0150349309861135,0.0,True
20.0,"Supramarginal Gyrus, posterior division",L2,0.0375339119923617,0.0,True
21.0,Angular Gyrus,L2,0.0159979645293736,0.0,True
22.0,"Lateral Occipital Cortex, superior division",L2,0.0567606262854419,0.0,True
23.0,"Lateral Occipital Cortex, inferior division",L2,0.0774181697892639,0.0,True
24.0,Intracalcarine Cortex,L2,0.3123482697833658,0.0,True
30.0,"Cingulate Gyrus, posterior division",L2,0.0060415857085569,0.0,True
32.0,Cuneal Cortex,L2,0.1038386190266931,0.0,True
34.0,"Parahippocampal Gyrus, anterior division",L2,0.0182372780141688,0.0,True
35.0,"Parahippocampal Gyrus, posterior division",L2,0.0752071510189442,0.0,True
36.0,Lingual Gyrus,L2,0.1815691741144838,0.0,True
37.0,"Temporal Fusiform Cortex, anterior division",L2,0.0048273818161428,0.0,True
38.0,"Temporal Fusiform Cortex, posterior division",L2,0.036888630308165,0.0,True
39.0,Temporal Occipital Fusiform Cortex,L2,0.1146674309351454,0.0,True
40.0,Occipital Fusiform Gyrus,L2,0.1307095545376123,0.0,True
43.0,Parietal Opercular Cortex,L2,0.0131917783718981,0.0,True
44.0,Planum Polare,L2,0.0849045985860054,0.0,True
45.0,Heschl's Gyrus (includes H1 and H2),L2,0.1409883660047447,0.0,True
46.0,Planum Temporale,L2,0.1246686601391419,0.0,True
47.0,Supracalcarine Cortex,L2,0.1910967082676843,0.0,True
48.0,Occipital Pole,L2,0.128179437835653,0.0,True
10.0,"Superior Temporal Gyrus, posterior division",L4,0.0767860410770222,0.0,True
12.0,"Middle Temporal Gyrus, posterior division",L4,0.0213144709458623,0.0,True
13.0,"Middle Temporal Gyrus, temporooccipital part",L4,0.0381728851541091,0.0,True
16.0,"Inferior Temporal Gyrus, temporooccipital part",L4,0.0543854756452253,0.0,True
18.0,Superior Parietal Lobule,L4,0.0713025307383837,0.0,True
19.0,"Supramarginal Gyrus, anterior division",L4,0.0197779111479218,0.0,True
20.0,"Supramarginal Gyrus, posterior division",L4,0.0643320471862969,0.0,True
21.0,Angular Gyrus,L4,0.0465708059753662,0.0,True
22.0,"Lateral Occipital Cortex, superior division",L4,0.1112696838927997,0.0,True
23.0,"Lateral Occipital Cortex, inferior division",L4,0.120257494544186,0.0,True
24.0,Intracalcarine Cortex,L4,0.4549883798523722,0.0,True
30.0,"Cingulate Gyrus, posterior division",L4,0.0931226939375355,0.0,True
31.0,Precuneous Cortex,L4,0.084878892759044,0.0,True
32.0,Cuneal Cortex,L4,0.1791499211354275,0.0,True
35.0,"Parahippocampal Gyrus, posterior division",L4,0.0228573326408882,0.0,True
36.0,Lingual Gyrus,L4,0.2429847255748511,0.0,True
39.0,Temporal Occipital Fusiform Cortex,L4,0.1638307805526707,0.0,True
40.0,Occipital Fusiform Gyrus,L4,0.1823303799500202,0.0,True
43.0,Parietal Opercular Cortex,L4,0.0397674459449549,0.0,True
44.0,Planum Polare,L4,0.0019693634953219,0.0,True
45.0,Heschl's Gyrus (includes H1 and H2),L4,0.264610787156484,0.0,True
46.0,Planum Temporale,L4,0.2422201991699479,0.0,True
47.0,Supracalcarine Cortex,L4,0.3118454391327689,0.0,True
48.0,Occipital Pole,L4,0.1741221243848366,0.0,True
1.0,Frontal Pole,L5,0.0585545416239061,0.0,True
2.0,Insular Cortex,L5,0.1160813588443234,0.0,True
3.0,Superior Frontal Gyrus,L5,0.0759008732323544,0.0,True
5.0,"Inferior Frontal Gyrus, pars triangularis",L5,0.0162013997882662,0.003,True
7.0,Precentral Gyrus,L5,0.0006786630837411,0.0,True
17.0,Postcentral Gyrus,L5,0.0351769856936973,0.0,True
18.0,Superior Parietal Lobule,L5,0.0435192353465471,0.0,True
25.0,Frontal Medial Cortex,L5,0.233893232379665,0.0,True
